,feature,weight,std
0,How often do you snort or stop breathing_3.0,0.006354249404289081,0.0014208533613978176
1,How often do you snort or stop breathing_5.397605346934027e-79,0.004130262112787908,0.0023775424220962246
2,How often do you snore?_3.0,0.003971405877680656,0.0016660982496745837
3,How often feel overly sleepy during day?_1.0,0.0009531374106433344,0.002154830812748277
4,How often do you snore?_2.0,0.0007942811755361267,0.0013290866187991425
5,How often feel overly sleepy during day?_3.0,0.0007942811755361267,0.0020093900938321593
6,Ever have 4/5 or more drinks every day?,0.000635424940428897,0.001620022085335261
7,How often do you snort or stop breathing_7.0,0.0,0.0
8,Speak English at home - NHW or NHB,0.0,0.0
9,How often do you snore?_7.0,0.0,0.0
10,How often feel overly sleepy during day?_5.397605346934027e-79,-2.2204460492503132e-17,0.0025614798247175644
11,"# days drink alcohol per wk, mo, yr",-0.0003177124702144596,0.0013848765507675058
12,How often feel overly sleepy during day?_2.0,-0.000794281175536149,0.0016660982496746045
13,Had at least 12 alcohol drinks/1 yr?,-0.000794281175536149,0.0010046950469160972
14,Avg # alcoholic drinks/day - past 12 mos,-0.0007942811755361712,0.0034439211101952014
15,How often feel overly sleepy during day?_4.0,-0.0011119936457506085,0.001852566130212984
16,How often do you snore?_5.397605346934027e-79,-0.0019062748212867354,0.0029548967812133824
17,How often do you snort or stop breathing_1.0,-0.002065131056393987,0.00038911671847231236
18,How often do you snore?_1.0,-0.0027005559968229067,0.0015564668738892494
19,How often do you snort or stop breathing_2.0,-0.003177124702144596,0.0011232832107808668
20,Usual wake time on weekdays or workdays,-0.0033359809372518257,0.0017689481692867628
21,# days have 4/5 drinks - past 12 mos,-0.0049245432883241015,0.0016200220853352654
22,Sleep hours,-0.005877680698967458,0.0027788491953194246
23,How often drink alcohol over past 12 mos,-0.006513105639396377,0.002212611322825091
24,Usual sleep time on weekdays or workdays,-0.007466243050039734,0.0017109340133866276
