,feature,weight,std
0,How often do you snort or stop breathing_5.397605346934027e-79,0.012549642573470998,0.003871662464480995
1,How often feel overly sleepy during day?_4.0,0.009213661636219238,0.0028682240008368197
2,How often do you snort or stop breathing_3.0,0.009054805401111986,0.0020467194164774066
3,How often do you snore?_5.397605346934027e-79,0.005083399523431287,0.0014731721200151747
4,How often do you snort or stop breathing_1.0,0.003812549642573493,0.0016200220853352719
5,How often feel overly sleepy during day?_3.0,0.0027005559968229067,0.0013848765507675055
6,How often do you snore?_2.0,0.0025416997617156768,0.0005943856055240642
7,How often feel overly sleepy during day?_1.0,0.001588562351072298,0.0011232832107808668
8,How often do you snore?_3.0,0.0012708498808578384,0.0024915626912403975
9,How often do you snore?_1.0,0.0011119936457506085,0.002334700310833874
10,How often do you snore?_7.0,0.0,0.0
11,Speak English at home - NHW or NHB,0.0,0.0
12,How often do you snort or stop breathing_7.0,0.0,0.0
13,How often feel overly sleepy during day?_5.397605346934027e-79,-0.0003177124702144596,0.0021665101980915032
14,How often do you snort or stop breathing_2.0,-0.00047656870532168937,0.0010774154063741613
15,How often feel overly sleepy during day?_2.0,-0.001588562351072298,0.0011232832107808668
16,Usual wake time on weekdays or workdays,-0.003971405877680701,0.002658173237598318
17,Usual sleep time on weekdays or workdays,-0.00428911834789516,0.003317015570742023
18,Sleep hours,-0.004606830818109619,0.003936302364849515
