,feature,weight,std
0,How often do you snort or stop breathing_5.397605346934027e-79,0.0071485305798252964,0.0018112397539302948
1,How often do you snort or stop breathing_3.0,0.003177124702144596,0.0011232832107808668
2,How often do you snore?_3.0,0.0027005559968229067,0.0026865027045731467
3,Had at least 12 alcohol drinks/1 yr?,0.0025416997617156768,0.000926283065106492
4,"# days drink alcohol per wk, mo, yr",0.002065131056393987,0.001852566130212984
5,Avg # alcoholic drinks/day - past 12 mos,0.00174741858617955,0.002629538579387905
6,How often drink alcohol over past 12 mos,0.00158856235107232,0.0022465664215616946
7,How often feel overly sleepy during day?_3.0,0.0014297061159650904,0.0016961204530629363
8,How often feel overly sleepy during day?_5.397605346934027e-79,0.0011119936457506085,0.000810011042667648
9,How often do you snore?_1.0,0.000953137410643401,0.0024300331280029206
10,How often do you snort or stop breathing_2.0,0.0009531374106433787,0.0005943856055240643
11,How often feel overly sleepy during day?_2.0,4.4408920985006264e-17,0.001507042570374099
12,How often feel overly sleepy during day?_4.0,4.4408920985006264e-17,0.0028857668188379494
13,How often do you snort or stop breathing_7.0,0.0,0.0
14,How often do you snore?_7.0,0.0,0.0
15,How often feel overly sleepy during day?_1.0,-0.00047656870532164497,0.0014731721200151747
16,How often do you snore?_5.397605346934027e-79,-0.0007942811755361045,0.0033698496323425584
17,Usual sleep time on weekdays or workdays,-0.0009531374106433122,0.00338479360645949
18,How often do you snore?_2.0,-0.0020651310563938987,0.00198411374055547
19,How often do you snort or stop breathing_1.0,-0.0025416997617155658,0.0005943856055240643
20,# days have 4/5 drinks - past 12 mos,-0.0027005559968228177,0.0017109340133866422
21,Sleep hours,-0.0028594122319300476,0.0030803366846172044
22,Usual wake time on weekdays or workdays,-0.0044479745830023456,0.0032787557490945632
23,Ever have 4/5 or more drinks every day?,-0.004606830818109553,0.0019713540343115174
