,feature,weight,std
0,How often do you snort or stop breathing_5.397605346934027e-79,0.007466243050039734,0.003711936916774555
1,How often feel overly sleepy during day?_4.0,0.003971405877680701,0.0016660982496745516
2,Hearing cause frustration when talking?,0.003177124702144596,0.0020712318999849795
3,General condition of hearing_2.0,0.0027005559968229067,0.001852566130212984
4,"Ears ringing, roaring, buzzing past year",0.0027005559968229067,0.0020467194164774066
5,Difficult follow conversation if noise,0.002700555996822884,0.002166510198091474
6,Usual wake time on weekdays or workdays,0.0025416997617156768,0.0018388938685925907
7,General condition of hearing_5.0,0.002223987291501217,0.0007782334369446247
8,General condition of hearing_1.0,0.002223987291501217,0.0015401683423086213
9,Ever had a job exposure to loud noise?,0.002065131056393987,0.0006354249404289192
10,Usual sleep time on weekdays or workdays,0.002065131056393965,0.002778849195319442
11,How often feel overly sleepy during day?_2.0,0.0019062748212867575,0.0020467194164774066
12,Past year: worn hearing protection?,0.0017474185861795278,0.001696120453062976
13,How often do you snort or stop breathing_1.0,0.001429706115965068,0.000926283065106492
14,How often do you snort or stop breathing_3.0,0.0012708498808578384,0.00038911671847231236
15,Last time hearing tested by specialist?,0.0011119936457506085,0.0016355250422537123
16,How often do you snore?_2.0,0.000794281175536149,0.0008700914336857385
17,How often feel overly sleepy during day?_5.397605346934027e-79,0.000794281175536149,0.0005023475234580486
18,How often do you snore?_3.0,0.0003177124702144596,0.0009531374106433787
19,Ever worn hearing aid/cochlear implant?,0.0003177124702144596,0.0006354249404289192
20,How often do you snort or stop breathing_7.0,0.0,0.0
21,How often do you snore?_7.0,0.0,0.0
22,Ever used assistive listening devices?,0.0,0.0
23,Had off-work exposure to loud noise?,0.0,0.0007104266806989088
24,How often do you snore?_5.397605346934027e-79,0.0,0.0015070425703741458
25,General condition of hearing_6.0,0.0,0.0
26,How often do you snort or stop breathing_2.0,-0.0001588562351072298,0.001540168342308621
27,General condition of hearing_3.0,-0.0003177124702144596,0.0006354249404289191
28,How often feel overly sleepy during day?_3.0,-0.000794281175536149,0.0008700914336857385
29,Ever had 3 or more ear infections?,-0.0009531374106433787,0.001696120453062976
30,Ever used firearms for any reason?,-0.0012708498808578384,0.002280015900620729
31,Sleep hours,-0.0012708498808578605,0.0037793096913011377
32,How often do you snore?_1.0,-0.001429706115965068,0.000926283065106492
33,Ever had tube placed in ear?,-0.001429706115965068,0.0005943856055240642
34,General condition of hearing_4.0,-0.001429706115965068,0.0005943856055240642
35,How often feel overly sleepy during day?_1.0,-0.0023828435266084248,0.0018112397539303045
