,feature,weight,std
0,Usual wake time on weekdays or workdays,0.00937251787132649,0.0019062748212867056
1,How often do you snort or stop breathing_5.397605346934027e-79,0.007625099285146986,0.002046719416477365
2,Usual sleep time on weekdays or workdays,0.006989674344718089,0.003458545044809742
3,Ever told you had high blood pressure_2.0,0.006989674344718089,0.0015401683423085844
4,How often feel overly sleepy during day?_5.397605346934027e-79,0.006195393169181962,0.002212611322825144
5,How often do you snort or stop breathing_3.0,0.0058776806989675025,0.000810011042667648
6,How often feel overly sleepy during day?_4.0,0.005401111993645813,0.001838893868592591
7,Ever told you had high blood pressure_1.0,0.005242255758538583,0.0023881328639194727
8,How often feel overly sleepy during day?_3.0,0.004289118347895205,0.0021074661098366564
9,Told to take prescriptn for cholesterol,0.003971405877680745,0.0029719280276203214
10,How often feel overly sleepy during day?_1.0,0.003653693407466285,0.0023881328639194727
11,Sleep hours,0.0034948371723590556,0.0035020504662508114
12,Doctor told you - high cholesterol level_1.0,0.0034948371723590556,0.002491562691240398
13,Ever had blood cholesterol checked,0.0033359809372518257,0.000926283065106492
14,How often do you snort or stop breathing_1.0,0.003177124702144596,0.0013290866187991822
15,How often do you snore?_1.0,0.0027005559968229067,0.001290554154827014
16,How often do you snort or stop breathing_2.0,0.0025416997617156768,0.0005943856055240642
17,How often do you snore?_3.0,0.002382843526608447,0.002409174088658185
18,When blood cholesterol last checked,0.002065131056393987,0.000810011042667648
19,How often do you snore?_2.0,0.00047656870532173377,0.0021074661098366048
20,How often feel overly sleepy during day?_2.0,0.00031771247021448177,0.0019194671919927652
21,How often do you snore?_7.0,0.0,0.0
22,How often do you snort or stop breathing_7.0,0.0,0.0
23,How often do you snore?_5.397605346934027e-79,-0.00047656870532164497,0.0018525661302129382
24,Doctor told you - high cholesterol level_2.0,-0.0006354249404288747,0.0018388938685925489
