,feature,weight,std
0,Shortness of breath on stairs/inclines,0.014455917394757689,0.001768948169286763
1,Usual sleep time on weekdays or workdays,0.007466243050039689,0.0020467194164774066
2,Money spent on food at other stores,0.006671961874503518,0.003161199164754948
3,SP ever had pain or discomfort in chest,0.00651310563939631,0.0012708498808578384
4,How often do you snort or stop breathing_5.397605346934027e-79,0.006036536934074621,0.0016355250422537123
5,How often feel overly sleepy during day?_3.0,0.006036536934074621,0.002590866787974627
6,Usual wake time on weekdays or workdays,0.005559968228752954,0.0036571451733824877
7,Money spent on carryout/delivered ,0.005559968228752932,0.0028417067227956352
8,How often do you snort or stop breathing_3.0,0.0050833995234312425,0.001290554154827014
9,How often do you snore?_3.0,0.004606830818109553,0.0018388938685925907
10,Money spent on eating out,0.003971405877680634,0.0015070425703741458
11,How often feel overly sleepy during day?_1.0,0.003335980937251737,0.0018388938685925602
12,Sleep hours,0.00238284352660838,0.001420853361397768
13,How often feel overly sleepy during day?_4.0,0.0022239872915011507,0.002430033128002896
14,How often feel overly sleepy during day?_5.397605346934027e-79,0.0022239872915011507,0.001906274821286715
15,How often do you snort or stop breathing_2.0,0.0020651310563938987,0.00118877121104809
16,How often do you snore?_2.0,0.001111993645750564,0.001077415406374109
17,How often feel overly sleepy during day?_2.0,0.0009531374106433122,0.0019062748212867074
18,Money spent at supermarket/grocery store,0.0007942811755361045,0.003923459582280685
19,Money spent on nonfood items,0.0007942811755360824,0.0035164326642062897
20,How often do you snore?_1.0,0.00015885623510716317,0.002323866376223615
21,How often do you snore?_7.0,0.0,0.0
22,How often do you snort or stop breathing_7.0,0.0,0.0
23,How often do you snore?_5.397605346934027e-79,-0.0006354249404289414,0.0018388938685925543
24,How often do you snort or stop breathing_1.0,-0.003812549642573515,0.0013665330050901868
