,feature,weight,std
0,Shortness of breath on stairs/inclines,0.01922160444797465,0.004669400621667705
1,How often do you snort or stop breathing_5.397605346934027e-79,0.012231930103256605,0.0017109340133866422
2,How often feel overly sleepy during day?_3.0,0.01032565528196987,0.0013290866187991425
3,Usual sleep time on weekdays or workdays,0.007783955520254215,0.0028149396579299924
4,How often do you snort or stop breathing_3.0,0.005401111993645813,0.0019062748212867575
5,How often do you snore?_5.397605346934027e-79,0.004765687053216894,0.0026581732375983644
6,SP ever had pain or discomfort in chest,0.0034948371723590556,0.0010774154063741615
7,How often feel overly sleepy during day?_1.0,0.0025416997617156768,0.0003177124702144596
8,How often do you snort or stop breathing_2.0,0.002382843526608447,0.0007104266806989088
9,How often do you snort or stop breathing_1.0,0.0019062748212867575,0.001290554154827014
10,How often feel overly sleepy during day?_2.0,0.001429706115965068,0.0014559414439891637
11,How often do you snore?_1.0,0.0006354249404289414,0.0007782334369445841
12,Sleep hours,0.0003177124702145262,0.006464492438244922
13,How often feel overly sleepy during day?_5.397605346934027e-79,4.4408920985006264e-17,0.0018796123218743565
14,How often do you snore?_7.0,0.0,0.0
15,How often do you snort or stop breathing_7.0,0.0,0.0
16,How often do you snore?_2.0,-0.00015885623510716317,0.0024300331280028903
17,How often do you snore?_3.0,-0.00031771247021439297,0.002388132863919423
18,Usual wake time on weekdays or workdays,-0.0006354249404288525,0.003999897795715384
19,How often feel overly sleepy during day?_4.0,-0.0020651310563938987,0.0019194671919927817
