,feature,weight,std
0,How often do you snort or stop breathing_5.397605346934027e-79,0.008737092930897505,0.0021312800420967017
1,How often do you snort or stop breathing_3.0,0.007307386814932459,0.0007782334369446247
2,How often feel overly sleepy during day?_4.0,0.005559968228752932,0.0020712318999849795
3,Money spent on eating out,0.004447974583002323,0.0011887712110481286
4,How often do you snore?_2.0,0.004130262112787863,0.000926283065106492
5,How often do you snore?_1.0,0.0020651310563938987,0.0009531374106433491
6,How often feel overly sleepy during day?_1.0,0.001906274821286691,0.0010774154063741158
7,How often feel overly sleepy during day?_5.397605346934027e-79,0.0015885623510722535,0.002561479824717551
8,Money spent on nonfood items,0.0015885623510722535,0.003443921110195191
9,Money spent on food at other stores,0.0014297061159650015,0.0023238663762236212
10,Usual wake time on weekdays or workdays,0.001111993645750564,0.001077415406374109
11,How often do you snore?_3.0,0.001111993645750564,0.0021074661098366048
12,Money spent on carryout/delivered ,0.0009531374106433122,0.0011673501554168857
13,How often feel overly sleepy during day?_2.0,0.0009531374106433122,0.001971354034311469
14,How often do you snore?_5.397605346934027e-79,0.0007942811755361045,0.001420853361397768
15,How often feel overly sleepy during day?_3.0,0.0003177124702144152,0.0023881328639194345
16,Sleep hours,0.0001588562351072076,0.0031532062337218682
17,Money spent at supermarket/grocery store,0.00015885623510716317,0.0038059248771122925
18,How often do you snore?_7.0,0.0,0.0
19,How often do you snort or stop breathing_7.0,0.0,0.0
20,How often do you snort or stop breathing_1.0,-2.2204460492503132e-17,0.0015070425703741107
21,How often do you snort or stop breathing_2.0,-0.0003177124702144596,0.0006354249404289191
22,Usual sleep time on weekdays or workdays,-0.005242255758538583,0.00038911671847231236
