,feature,weight,std
0,How often feel overly sleepy during day?_4.0,0.010325655281969826,0.0007104266806989088
1,How often do you snort or stop breathing_5.397605346934027e-79,0.006513105639396377,0.0029888622275181377
2,How healthy is the diet_5.0,0.003971405877680745,0.0010046950469160972
3,Ever told have health risk for diabetes,0.003653693407466285,0.0010774154063741615
4,How often feel overly sleepy during day?_3.0,0.003653693407466263,0.0021074661098366195
5,How often do you snore?_3.0,0.0034948371723590556,0.0010774154063741615
6,Doctor told you have diabetes_2.0,0.0033359809372518257,0.0024814137175239856
7,Had blood tested past three years,0.0027005559968229067,0.002778849195319476
8,Ever told you have prediabetes,0.002382843526608447,0.0013290866187991822
9,How often do you snore?_5.397605346934027e-79,0.002382843526608447,0.0015070425703741458
10,How often do you snort or stop breathing_3.0,0.002065131056393987,0.000810011042667648
11,How healthy is the diet_4.0,0.002065131056393987,0.0022800159006207293
12,How often drank milk age 18-35,0.0019062748212867575,0.000810011042667648
13,Would use restaurant nutrition info,0.0019062748212867575,0.0010774154063741615
14,How often feel overly sleepy during day?_5.397605346934027e-79,0.0017474185861795278,0.001971354034311517
15,How often drank milk age 5-12,0.001429706115965068,0.000926283065106492
16,Past 30 day milk product consumption_2.0,0.001429706115965068,0.0010537330549183282
17,Eat at restaurants w/ waiter_2.0,0.001429706115965068,0.0005943856055240643
18,Eat at restaurants w/ waiter_1.0,0.0012708498808578384,0.001290554154827014
19,Eat at fast food/pizza places_2.0,0.0011119936457506085,0.001290554154827014
20,Past 30 day milk product consumption_5.397605346934027e-79,0.0009531374106433787,0.0013665330050901868
21,Feel could be at risk for diabetes,0.0009531374106433787,0.0012708498808578382
22,How often do you snort or stop breathing_2.0,0.000794281175536149,0.0010046950469160972
23,Taking insulin now_2.0,0.000794281175536149,0.0005023475234580486
24,# of meals from fast food or pizza place,0.0006354249404289192,0.002531751779270756
25,# of ready-to-eat foods in past 30 days,0.000158856235107252,0.0033093989922159954
26,Usual sleep time on weekdays or workdays,0.0001588562351072298,0.0023238663762236637
27,How often feel overly sleepy during day?_1.0,0.0,0.0012304951060230218
28,How often do you snort or stop breathing_7.0,0.0,0.0
29,How often do you snore?_7.0,0.0,0.0
30,Taking insulin now_7.0,0.0,0.0
31,How often drank milk age 13-17,0.0,0.0016660982496746045
32,Regular milk use 5 times per week,-0.0001588562351072298,0.0013665330050901868
33,Doctor told you have diabetes_3.0,-0.0001588562351072298,0.0005943856055240642
34,Taking insulin now_1.0,-0.0001588562351072298,0.0005943856055240643
35,Past 30 day milk product consumption_1.0,-0.0001588562351072298,0.0005943856055240643
36,How healthy is the diet_3.0,-0.0003177124702144596,0.0016355250422537123
37,How healthy is the diet_1.0,-0.0003177124702144596,0.0010774154063741615
38,How often feel overly sleepy during day?_2.0,-0.00047656870532168937,0.0010774154063741615
39,Would use fast food nutrition info,-0.00047656870532168937,0.0009531374106433787
40,Doctor told you have diabetes_1.0,-0.00047656870532168937,0.000810011042667648
41,Heard of My Plate_1.0,-0.0006354249404289192,0.001540168342308621
42,Heard of My Plate_2.0,-0.0006354249404289192,0.0007782334369446246
43,# of frozen meals/pizza in past 30 days,-0.000794281175536149,0.001123283210780867
44,How healthy is the diet_2.0,-0.000794281175536149,0.0016660982496746045
45,Eat at fast food/pizza places_1.0,-0.0009531374106433787,0.0014559414439891637
46,Saw nutrition info on restaurant menu,-0.0009531374106433787,0.0005943856055240643
47,Sleep hours,-0.0009531374106433787,0.0012708498808578382
48,Saw nutrition info on fast food menu,-0.0009531374106433787,0.000926283065106492
49,Past 30 day milk product consumption_3.0,-0.0009531374106433787,0.0005943856055240643
50,Usual wake time on weekdays or workdays,-0.0011119936457505864,0.0038455022833710035
51,# of meals not home prepared,-0.001429706115965068,0.0013665330050901868
52,Is it a chain-restaurant?,-0.0019062748212867575,0.0006354249404289192
53,How often do you snore?_1.0,-0.0019062748212867575,0.000810011042667648
54,How often do you snore?_2.0,-0.002223987291501217,0.001167350155416937
55,How often do you snort or stop breathing_1.0,-0.002700555996822884,0.00118877121104809
