,feature,weight,std
0,How often do you snort or stop breathing_5.397605346934027e-79,0.007307386814932437,0.0027697531015349747
1,How often do you snort or stop breathing_3.0,0.00714853057982523,0.0020093900938321944
2,Doctor told you have diabetes_2.0,0.00683081810961077,0.0010774154063741615
3,Sleep hours,0.004765687053216805,0.003923459582280694
4,How often feel overly sleepy during day?_4.0,0.0028594122319300697,0.003200864444735478
5,How often do you snort or stop breathing_1.0,0.0025416997617155658,0.0005943856055240642
6,Taking insulin now_1.0,0.001906274821286691,0.0014731721200151747
7,Usual wake time on weekdays or workdays,0.0019062748212866688,0.003878174937484896
8,Ever told you have prediabetes,0.0014297061159650238,0.0014559414439891105
9,Doctor told you have diabetes_1.0,0.0014297061159650015,0.0015401683423085686
10,Ever told have health risk for diabetes,0.0012708498808577718,0.002107466109836613
11,Feel could be at risk for diabetes,0.001111993645750564,0.0016355250422536672
12,Doctor told you have diabetes_3.0,0.0004765687053216672,0.0008100110426676175
13,How often feel overly sleepy during day?_1.0,0.0001588562351072076,0.00116735015541691
14,How often do you snore?_7.0,0.0,0.0
15,Taking insulin now_7.0,0.0,0.0
16,How often do you snort or stop breathing_7.0,0.0,0.0
17,How often feel overly sleepy during day?_5.397605346934027e-79,-2.2204460492503132e-17,0.0015885623510722648
18,Taking insulin now_2.0,-0.0003177124702144596,0.000810011042667648
19,How often do you snore?_5.397605346934027e-79,-0.00047656870532168937,0.001290554154827014
20,How often feel overly sleepy during day?_2.0,-0.0007942811755361712,0.0017401828673714469
21,Had blood tested past three years,-0.0011119936457506308,0.001852566130212952
22,How often do you snort or stop breathing_2.0,-0.0017474185861795278,0.000926283065106492
23,How often do you snore?_3.0,-0.0025416997617156768,0.0016961204530629762
24,How often do you snore?_2.0,-0.0027005559968229067,0.001290554154827014
25,How often feel overly sleepy during day?_3.0,-0.0027005559968229288,0.003910574622745411
26,Usual sleep time on weekdays or workdays,-0.004765687053216894,0.0032165936030685975
27,How often do you snore?_1.0,-0.004924543288324123,0.0020343524185648682
