,feature,weight,std
0,How often do you snort or stop breathing_5.397605346934027e-79,0.011755361397934849,0.003421868026773311
1,How often do you snort or stop breathing_3.0,0.006989674344718,0.000926283065106492
2,Would use restaurant nutrition info,0.006513105639396333,0.0023238663762236243
3,How often feel overly sleepy during day?_3.0,0.004130262112787886,0.0012708498808578076
4,Past 30 day milk product consumption_3.0,0.003494837172359011,0.0008100110426676
5,How often feel overly sleepy during day?_4.0,0.003494837172359011,0.0019841137405554646
6,Regular milk use 5 times per week,0.002700555996822862,0.0021074661098366048
7,How often do you snort or stop breathing_2.0,0.002065131056393987,0.000810011042667648
8,How healthy is the diet_2.0,0.002065131056393965,0.0015564668738892223
9,Heard of My Plate_2.0,0.002065131056393965,0.0012905541548269813
10,Eat at restaurants w/ waiter_2.0,0.0019062748212867575,0.0010774154063741613
11,Sleep hours,0.0019062748212867354,0.0018525661302129406
12,# of meals not home prepared,0.0017474185861795278,0.0005943856055240642
13,How often do you snore?_5.397605346934027e-79,0.001588562351072298,0.0007104266806989088
14,Past 30 day milk product consumption_1.0,0.001588562351072298,0.0005023475234580486
15,How healthy is the diet_3.0,0.001588562351072298,0.0008700914336857386
16,Would use fast food nutrition info,0.0015885623510722758,0.002009390093832159
17,# of frozen meals/pizza in past 30 days,0.0015885623510722758,0.002009390093832168
18,Past 30 day milk product consumption_2.0,0.001429706115965068,0.0007782334369446247
19,How often drank milk age 5-12,0.0012708498808578384,0.00038911671847231236
20,Eat at fast food/pizza places_2.0,0.0012708498808578384,0.000810011042667648
21,Eat at restaurants w/ waiter_1.0,0.0011119936457506085,0.000810011042667648
22,How often drank milk age 18-35,0.0009531374106433787,0.000926283065106492
23,How often feel overly sleepy during day?_5.397605346934027e-79,0.0009531374106433787,0.0010537330549183282
24,Usual wake time on weekdays or workdays,0.0009531374106433565,0.00253175177927073
25,How often feel overly sleepy during day?_1.0,0.0009531374106433565,0.0027697531015349803
26,How often feel overly sleepy during day?_2.0,0.000794281175536149,0.0015070425703741458
27,Is it a chain-restaurant?,0.000794281175536149,0.0015070425703741458
28,Usual sleep time on weekdays or workdays,0.00047656870532168937,0.00147317212001522
29,Past 30 day milk product consumption_5.397605346934027e-79,0.00047656870532168937,0.0011887712110481283
30,Eat at fast food/pizza places_1.0,0.00047656870532168937,0.0019841137405555106
31,Heard of My Plate_1.0,0.00047656870532168937,0.0003891167184723124
32,How often do you snore?_2.0,0.0003177124702144596,0.000810011042667648
33,# of meals from fast food or pizza place,0.0001588562351072298,0.0012708498808578384
34,# of ready-to-eat foods in past 30 days,0.0001588562351072076,0.0020343524185648266
35,How often do you snore?_7.0,0.0,0.0
36,How often do you snort or stop breathing_7.0,0.0,0.0
37,How healthy is the diet_1.0,0.0,0.0011232832107808668
38,How healthy is the diet_4.0,-0.0001588562351072298,0.000926283065106492
39,How often do you snore?_3.0,-0.00047656870532168937,0.0020467194164774066
40,How often drank milk age 13-17,-0.0006354249404289192,0.0015401683423086209
41,How often do you snore?_1.0,-0.0009531374106433787,0.0012708498808578382
42,How often do you snort or stop breathing_1.0,-0.0011119936457506085,0.0016355250422537123
43,Saw nutrition info on fast food menu,-0.001429706115965068,0.0010537330549183282
44,How healthy is the diet_5.0,-0.001588562351072298,0.0005023475234580486
45,Saw nutrition info on restaurant menu,-0.0019062748212867575,0.0010774154063741615
