,feature,weight,std
0,Take medication for these feelings?,0.01143764892772039,0.003910574622745412
1,Ever used marijuana or hashish,0.0030182684670373217,0.0009262830651064465
2,Have serious difficulty hearing?_1.0,0.0012708498808578384,0.00038911671847231236
3,How often do you snort or stop breathing_2.0,0.0009531374106433787,0.001540168342308621
4,How often do you feel depressed?,0.0007942811755361267,0.003294113002911484
5,"How often do you feel worried, anxious?",0.000635424940428897,0.003566313633144345
6,How often feel overly sleepy during day?_4.0,0.00047656870532168937,0.0006354249404289191
7,Have serious difficulty walking?_1.0,0.0004765687053216672,0.0018525661302129424
8,How often do you snort or stop breathing_7.0,0.0,0.0
9,How often do you snore?_7.0,0.0,0.0
10,Ever use a needle to inject illegal drug,0.0,0.0005023475234580486
11,Sleep hours,-0.0001588562351072298,0.0012708498808578384
12,Have difficulty dressing or bathing?_1.0,-0.0001588562351072298,0.000926283065106492
13,Have difficulty doing errands alone?_1.0,-0.0003177124702144596,0.0003891167184723124
14,How often do you snort or stop breathing_3.0,-0.0003177124702144596,0.0003891167184723124
15,Take medication for depression?,-0.00047656870532168937,0.0022800159006207293
16,Have serious difficulty seeing?_1.0,-0.0006354249404289192,0.0005943856055240643
17,Have serious difficulty walking?_2.0,-0.000794281175536149,0.002511737617290243
18,How often feel overly sleepy during day?_5.397605346934027e-79,-0.0009531374106433787,0.0024300331280029436
19,Ever used cocaine/heroin/methamphetamine,-0.0009531374106433787,0.0005943856055240643
20,How often do you snore?_3.0,-0.0009531374106433787,0.0003177124702144596
21,Have serious difficulty hearing?_2.0,-0.0012708498808578384,0.0013848765507675055
22,How often do you snort or stop breathing_5.397605346934027e-79,-0.0012708498808578384,0.001710934013386677
23,Have serious difficulty seeing?_2.0,-0.001429706115965068,0.000926283065106492
24,Usual wake time on weekdays or workdays,-0.001429706115965068,0.003601519951947503
25,How often feel overly sleepy during day?_1.0,-0.001429706115965068,0.000926283065106492
26,Have serious difficulty concentrating?_1.0,-0.0017474185861795278,0.0020343524185648682
27,Usual sleep time on weekdays or workdays,-0.002065131056393987,0.00147317212001522
28,How often feel overly sleepy during day?_2.0,-0.002382843526608447,0.0010046950469160972
29,How often do you snore?_1.0,-0.0025416997617156768,0.0012708498808578382
30,Have difficulty doing errands alone?_2.0,-0.0025416997617156768,0.0014559414439891637
31,How often do you snore?_5.397605346934027e-79,-0.0027005559968229067,0.000810011042667648
32,How worried or anxious were you?,-0.0027005559968229067,0.0015564668738892494
33,Have difficulty dressing or bathing?_2.0,-0.002859412231930136,0.0003891167184723124
34,How often do you snore?_2.0,-0.003018268467037366,0.0010537330549183282
35,How often do you snort or stop breathing_1.0,-0.003177124702144596,0.0015070425703741458
36,How often feel overly sleepy during day?_3.0,-0.005242255758538539,0.0016355250422536605
37,Have serious difficulty concentrating?_2.0,-0.0068308181096107925,0.0008100110426676131
