,feature,weight,std
0,Take medication for depression?,0.012549642573470975,0.002377542422096208
1,Take medication for these feelings?,0.008578236695790276,0.0027697531015349846
2,"How often do you feel worried, anxious?",0.0066719618745035405,0.0019194671919928056
3,How often do you feel depressed?,0.00651310563939631,0.001167350155416937
4,Have serious difficulty walking?_1.0,0.005559968228752954,0.004142463799969926
5,Have serious difficulty walking?_2.0,0.005401111993645702,0.0013665330050901868
6,How worried or anxious were you?,0.004289118347895138,0.002686502704573102
7,Sleep hours,0.004130262112787886,0.002581108309654
8,How often feel overly sleepy during day?_4.0,0.003177124702144507,0.001004695046916062
9,Have difficulty dressing or bathing?_1.0,0.003018268467037277,0.0013665330050901506
10,How often do you snore?_2.0,0.0028594122319300697,0.001077415406374109
11,How often feel overly sleepy during day?_1.0,0.0027005559968228177,0.0019194671919927652
12,Have difficulty doing errands alone?_2.0,0.00238284352660838,0.0010046950469160445
13,Usual sleep time on weekdays or workdays,0.002223987291501195,0.004124147731770352
14,How often do you snore?_5.397605346934027e-79,0.002065131056393943,0.0015564668738892065
15,How often do you snort or stop breathing_5.397605346934027e-79,0.0015885623510722535,0.001507042570374099
16,Have difficulty doing errands alone?_1.0,0.0014297061159650238,0.0009262830651064465
17,Have serious difficulty hearing?_1.0,0.001270849880857794,0.0014731721200151747
18,How often feel overly sleepy during day?_2.0,0.0007942811755361045,0.001329086618799129
19,Have serious difficulty seeing?_1.0,0.0006354249404289192,0.0005943856055240643
20,How often do you snore?_3.0,0.0006354249404288747,0.0023238663762236225
21,How often do you snort or stop breathing_1.0,0.0004765687053216672,0.0012905541548269813
22,How often do you snort or stop breathing_2.0,0.0003177124702144596,0.0003891167184723124
23,How often do you snort or stop breathing_3.0,0.0001588562351072298,0.0012708498808578384
24,How often do you snore?_7.0,0.0,0.0
25,Have serious difficulty hearing?_2.0,0.0,0.0005023475234580486
26,How often do you snort or stop breathing_7.0,0.0,0.0
27,Have serious difficulty seeing?_2.0,-0.0001588562351072298,0.0005943856055240643
28,Usual wake time on weekdays or workdays,-0.000158856235107252,0.0025317517792707205
29,How often feel overly sleepy during day?_5.397605346934027e-79,-0.0003177124702144596,0.0003891167184723124
30,Have serious difficulty concentrating?_2.0,-0.0003177124702144596,0.000810011042667648
31,How often do you snore?_1.0,-0.000794281175536149,0.0007104266806989088
32,How often feel overly sleepy during day?_3.0,-0.001588562351072298,0.0014208533613978176
33,Have difficulty dressing or bathing?_2.0,-0.0033359809372518257,0.0003177124702144596
34,Have serious difficulty concentrating?_1.0,-0.003812549642573515,0.000926283065106492
