,feature,weight,std
0,How often do you snort or stop breathing_5.397605346934027e-79,0.012708498808578161,0.002929164243778552
1,How often feel overly sleepy during day?_4.0,0.007625099285146897,0.0023347003108338408
2,How often do you snort or stop breathing_3.0,0.0066719618745035405,0.0010774154063741615
3,How often do you snore?_3.0,0.0065131056393962885,0.0029888622275181602
4,Usual wake time on weekdays or workdays,0.00270055599682284,0.0031210298180124564
5,How often do you snore?_2.0,0.002382843526608336,0.0008700914336857386
6,How often do you snore?_1.0,0.0014297061159650015,0.0019062748212867056
7,Ever used marijuana or hashish,0.0012708498808577495,0.0012905541548269787
8,How often feel overly sleepy during day?_1.0,0.0009531374106432899,0.0020343524185648314
9,How often feel overly sleepy during day?_3.0,0.0009531374106432899,0.0005943856055240287
10,How often feel overly sleepy during day?_5.397605346934027e-79,0.00031771247021439297,0.0020467194164773567
11,How often do you snore?_7.0,0.0,0.0
12,How often do you snort or stop breathing_7.0,0.0,0.0
13,Ever used cocaine/heroin/methamphetamine,-4.4408920985006264e-17,0.0017401828673714367
14,How often feel overly sleepy during day?_2.0,-0.0001588562351072742,0.002095457658184724
15,Usual sleep time on weekdays or workdays,-0.00047656870532173377,0.003845502283370992
16,Ever use a needle to inject illegal drug,-0.0019062748212867575,0.00038911671847231236
17,How often do you snort or stop breathing_1.0,-0.002859412231930136,0.0010774154063741615
18,Sleep hours,-0.0028594122319301587,0.0046205050269258275
19,How often do you snort or stop breathing_2.0,-0.0034948371723590556,0.0011887712110481286
20,How often do you snore?_5.397605346934027e-79,-0.003971405877680745,0.002246566421561734
