,feature,weight,std
0,Doctor ever said you had arthritis,0.010643367752184284,0.002440395789632628
1,How often feel overly sleepy during day?_4.0,0.006830818109610837,0.002334700310833823
2,Ever told had congestive heart failure,0.003971405877680745,0.0007104266806989088
3,How often feel overly sleepy during day?_5.397605346934027e-79,0.002382843526608447,0.001588562351072298
4,How often do you snore?_3.0,0.002223987291501217,0.0020343524185648682
5,How often do you snort or stop breathing_1.0,0.002223987291501217,0.0005943856055240642
6,Ever told you had COPD?,0.002065131056393987,0.000810011042667648
7,Close relative had diabetes?,0.0017474185861795278,0.0020343524185648682
8,Times lost 10 lbs or more to lose weight_1.0,0.0012708498808578384,0.0021074661098366564
9,Doctor told you to reduce salt in diet_2.0,0.0012708498808578384,0.0013848765507675055
10,Doctor ever told you that you had gout?,0.0011119936457506085,0.0006354249404289191
11,Close relative had asthma?_2.0,0.000953137410643401,0.0029032036350273415
12,Ever receive blood transfusion_1.0,0.0009531374106433787,0.000926283065106492
13,How often do you snore?_5.397605346934027e-79,0.0009531374106433787,0.0005943856055240643
14,Times lost 10 lbs or more to lose weight_5.0,0.0009531374106433787,0.000926283065106492
15,Ever told you had chronic bronchitis,0.000794281175536149,0.0005023475234580486
16,Doctor told you to reduce fat/calories_2.0,0.000794281175536149,0.001588562351072298
17,Do plans cover prescriptions?,0.000794281175536149,0.0005023475234580486
18,Ever told you had any liver condition,0.000794281175536149,0.0011232832107808668
19,Close relative had asthma?_1.0,0.0006354249404289414,0.0015401683423085775
20,How often feel overly sleepy during day?_1.0,0.0006354249404289192,0.001167350155416937
21,How often do you snore?_2.0,0.0006354249404289192,0.000926283065106492
22,Times lost 10 lbs or more to lose weight_4.0,0.0006354249404289192,0.0003177124702144596
23,Covered by health insurance_1.0,0.0006354249404289192,0.0010537330549183282
24,How do you consider your weight_2.0,0.0006354249404289192,0.0005943856055240643
25,Are you now increasing exercise_1.0,0.0006354249404289192,0.0005943856055240643
26,Usual wake time on weekdays or workdays,0.0006354249404289192,0.0023238663762236637
27,How do you consider your weight_3.0,0.0004765687053217116,0.002491562691240365
28,Ever told you had cancer or malignancy,0.00047656870532168937,0.000810011042667648
29,Doctor told you to lose weight_1.0,0.00047656870532168937,0.0013848765507675055
30,Are you now increasing exercise_2.0,0.00047656870532168937,0.0016355250422537123
31,Times lost 10 lbs or more to lose weight_2.0,0.00047656870532168937,0.00147317212001522
32,Doctor told you to exercise_1.0,0.00031771247021448177,0.0014731721200151795
33,Ever told you had emphysema,0.0003177124702144596,0.0010774154063741613
34,Ever told you had heart attack,0.0003177124702144596,0.0003891167184723124
35,Covered by health insurance_2.0,0.0003177124702144596,0.000810011042667648
36,How often feel overly sleepy during day?_2.0,0.000158856235107252,0.0014559414439891249
37,Usual sleep time on weekdays or workdays,0.000158856235107252,0.0033847936064595008
38,How often do you snort or stop breathing_2.0,0.0001588562351072298,0.0003177124702144596
39,Are you now controlling or losing weight_2.0,2.2204460492503132e-17,0.0017401828673714469
40,Are you now reducing fat in diet_2.0,0.0,0.0008700914336857385
41,Times lost 10 lbs or more to lose weight_7.0,0.0,0.0
42,Time when no insurance in past year?,0.0,0.0005023475234580486
43,How often do you snort or stop breathing_7.0,0.0,0.0
44,Have you ever had wt loss surgery?_1.0,0.0,0.0
45,How often do you snore?_7.0,0.0,0.0
46,Covered by health insurance_7.0,0.0,0.0
47,How do you consider your weight_7.0,0.0,0.0
48,"Like to weigh more, less or same_7.0",0.0,0.0
49,Have you ever had wt loss surgery?_2.0,-0.0001588562351072298,0.0003177124702144596
50,"Like to weigh more, less or same_1.0",-0.0003177124702144596,0.0006354249404289191
51,Ever been told you have jaundice?_2.0,-0.0003177124702144596,0.0003891167184723124
52,Taking treatment for anemia/past 3 mos_2.0,-0.0004765687053216672,0.0009531374106433344
53,Age when heaviest weight,-0.0004765687053216672,0.0019194671919927834
54,Close relative had heart attack?,-0.0004765687053216672,0.0030803366846171997
55,Are you now controlling or losing weight_1.0,-0.0006354249404288747,0.001838893868592539
56,How often do you snort or stop breathing_5.397605346934027e-79,-0.0006354249404289192,0.000926283065106492
57,Taking treatment for anemia/past 3 mos_1.0,-0.000794281175536149,0.0010046950469160972
58,Are you now reducing salt in diet_1.0,-0.000794281175536149,0.0007104266806989088
59,Doctor told you to reduce fat/calories_1.0,-0.0009531374106433344,0.0020343524185648196
60,Are you now reducing fat in diet_1.0,-0.0009531374106433565,0.0016200220853352545
61,Are you now reducing salt in diet_2.0,-0.0009531374106433565,0.001053733054918298
62,Ever been told you have jaundice?_1.0,-0.0009531374106433787,0.0003177124702144596
63,Ever told you had thyroid problem,-0.0009531374106433787,0.0005943856055240643
64,Doctor told you to reduce salt in diet_1.0,-0.001111993645750564,0.001077415406374109
65,Ever receive blood transfusion_2.0,-0.0011119936457505864,0.0008100110426676131
66,How often do you snort or stop breathing_3.0,-0.0011119936457505864,0.0008100110426676131
67,Ever been told you have asthma_2.0,-0.0011119936457505864,0.002823890204071664
68,How do you consider your weight_1.0,-0.001270849880857794,0.001188771211048087
69,Ever told you had coronary heart disease,-0.001270849880857816,0.0008100110426676174
70,How often do you snore?_1.0,-0.001270849880857816,0.0012905541548269813
71,Ever told you had angina/angina pectoris,-0.0012708498808578384,0.00038911671847231236
72,Tried to lose weight in past year,-0.0015885623510722535,0.001329086618799129
73,Times lost 10 lbs or more to lose weight_3.0,-0.0015885623510722758,0.0008700914336856981
74,Ever told you had a stroke,-0.0015885623510722758,0.0005023475234580135
75,Ever been told you have asthma_1.0,-0.001747418586179461,0.0018388938685925484
76,"Like to weigh more, less or same_2.0",-0.002223987291501128,0.0011673501554168948
77,"Like to weigh more, less or same_3.0",-0.002382843526608358,0.0020712318999849375
78,Doctor ever said you were overweight_1.0,-0.00238284352660838,0.001507042570374099
79,Doctor told you to lose weight_2.0,-0.00254169976171561,0.00399989779571538
80,Doctor ever said you were overweight_2.0,-0.003018268467037277,0.001971354034311483
81,How often feel overly sleepy during day?_3.0,-0.003018268467037277,0.0013665330050901506
82,Sleep hours,-0.003018268467037277,0.0009262830651064578
83,Doctor told you to exercise_2.0,-0.004765687053216783,0.0013290866187991822
