,feature,weight,std
0,Doctor told you to lose weight_1.0,0.008101667990468542,0.0030721333766185227
1,How often do you snort or stop breathing_5.397605346934027e-79,0.0050833995234312425,0.002334700310833874
2,Age when heaviest weight,0.004924543288324012,0.001167350155416937
3,Doctor ever said you had arthritis,0.004924543288324012,0.0029463442400304404
4,How do you consider your weight_1.0,0.004765687053216783,0.0016660982496746045
5,Usual sleep time on weekdays or workdays,0.0044479745830023456,0.002590866787974589
6,How often feel overly sleepy during day?_4.0,0.004447974583002323,0.0017109340133866773
7,Sleep hours,0.0042891183478950936,0.0015564668738892494
8,Are you now reducing salt in diet_1.0,0.0042891183478950936,0.0020467194164774066
9,How often feel overly sleepy during day?_1.0,0.0042891183478950936,0.001290554154827014
10,Are you now reducing fat in diet_2.0,0.003971405877680634,0.0008700914336857385
11,Ever receive blood transfusion_1.0,0.003653693407466174,0.001290554154827014
12,Are you now reducing salt in diet_2.0,0.0034948371723589446,0.0015564668738892494
13,Ever told you had COPD?,0.003335980937251737,0.0030721333766185466
14,Ever told you had cancer or malignancy,0.0033359809372517147,0.0012708498808578382
15,How often feel overly sleepy during day?_3.0,0.00270055599682284,0.003573382646291333
16,Are you now controlling or losing weight_1.0,0.0027005559968227956,0.0011887712110481286
17,Close relative had diabetes?,0.00254169976171561,0.002531751779270705
18,Doctor told you to reduce salt in diet_1.0,0.00254169976171561,0.0034585450448097205
19,How often feel overly sleepy during day?_5.397605346934027e-79,0.002382843526608358,0.002009390093832168
20,Ever told you had heart attack,0.002382843526608336,0.0008700914336857385
21,How often do you snore?_2.0,0.002382843526608336,0.0007104266806989088
22,Ever told you had chronic bronchitis,0.002382843526608336,0.0011232832107808668
23,Are you now reducing fat in diet_1.0,0.0020651310563938987,0.0013848765507674724
24,Ever told had congestive heart failure,0.002065131056393876,0.001290554154827014
25,Ever told you had coronary heart disease,0.0019062748212866464,0.0009531374106433787
26,"Like to weigh more, less or same_1.0",0.0017474185861794168,0.0007782334369446247
27,Doctor told you to reduce salt in diet_2.0,0.0017474185861794168,0.0007782334369446247
28,Close relative had asthma?_1.0,0.001588562351072209,0.0020712318999849457
29,Have you ever had wt loss surgery?_2.0,0.001588562351072187,0.0
30,How do you consider your weight_2.0,0.001588562351072187,0.0008700914336857385
31,How often do you snore?_5.397605346934027e-79,0.0014297061159650015,0.002212611322825107
32,Doctor ever said you were overweight_2.0,0.0014297061159650015,0.0016961204530629283
33,How often do you snort or stop breathing_3.0,0.0014297061159649794,0.0009262830651064578
34,Ever told you had a stroke,0.001429706115964957,0.0005943856055240642
35,Are you now controlling or losing weight_2.0,0.0012708498808577718,0.001635525042253667
36,Times lost 10 lbs or more to lose weight_2.0,0.0012708498808577718,0.00147317212001517
37,How often do you snore?_1.0,0.0012708498808577718,0.001077415406374109
38,How often feel overly sleepy during day?_2.0,0.001111993645750564,0.001384876550767452
39,How often do you snort or stop breathing_2.0,0.001111993645750542,0.0016355250422536714
40,"Like to weigh more, less or same_2.0",0.001111993645750542,0.0016355250422536714
41,Doctor told you to exercise_1.0,0.001111993645750542,0.002590866787974581
42,Times lost 10 lbs or more to lose weight_1.0,0.0011119936457505198,0.0008100110426676174
43,Doctor ever said you were overweight_1.0,0.0011119936457505198,0.0011887712110480928
44,Ever told you had angina/angina pectoris,0.0011119936457505198,0.0006354249404288803
45,Close relative had asthma?_2.0,0.0011119936457505198,0.0020467194164773684
46,How often do you snort or stop breathing_1.0,0.0009531374106433122,0.0016961204530629305
47,Are you now increasing exercise_1.0,0.0007942811755361045,0.0022465664215616864
48,Ever been told you have jaundice?_1.0,0.0007942811755360602,0.0005023475234580135
49,Times lost 10 lbs or more to lose weight_4.0,0.0007942811755360602,0.0008700914336856981
50,Have you ever had wt loss surgery?_1.0,0.0007942811755360379,0.0
51,Close relative had heart attack?,0.0006354249404288747,0.0009262830651064465
52,Times lost 10 lbs or more to lose weight_5.0,0.0006354249404288304,0.0016200220853352543
53,Ever been told you have asthma_2.0,0.0003177124702144152,0.0020467194164773533
54,How do you consider your weight_3.0,0.0003177124702144152,0.002280015900620681
55,How often do you snore?_3.0,0.0003177124702144152,0.001188771211048081
56,Tried to lose weight in past year,0.0001588562351072076,0.0007782334369445841
57,Times lost 10 lbs or more to lose weight_3.0,0.00015885623510718537,0.0009262830651064426
58,Doctor told you to lose weight_2.0,0.00015885623510716317,0.0025811083096539847
59,Times lost 10 lbs or more to lose weight_7.0,0.0,0.0
60,Ever told you had emphysema,0.0,0.0
61,How often do you snort or stop breathing_7.0,0.0,0.0
62,"Like to weigh more, less or same_7.0",0.0,0.0
63,How do you consider your weight_7.0,0.0,0.0
64,How often do you snore?_7.0,0.0,0.0
65,Ever receive blood transfusion_2.0,-2.2204460492503132e-17,0.001004695046916062
66,Ever told you had any liver condition,-6.661338147750939e-17,0.001329086618799129
67,Ever been told you have asthma_1.0,-0.00047656870532173377,0.0021665101980914607
68,Taking treatment for anemia/past 3 mos_2.0,-0.0006354249404289192,0.0005943856055240643
69,Ever been told you have jaundice?_2.0,-0.0009531374106433787,0.0003177124702144596
70,Ever told you had thyroid problem,-0.0011119936457506085,0.0010774154063741613
71,Taking treatment for anemia/past 3 mos_1.0,-0.001429706115965068,0.0007782334369446247
72,Are you now increasing exercise_2.0,-0.0014297061159650904,0.002677092858832831
73,Doctor ever told you that you had gout?,-0.0019062748212867575,0.0010774154063741615
74,Usual wake time on weekdays or workdays,-0.0019062748212867798,0.0017109340133866422
75,"Like to weigh more, less or same_3.0",-0.002382843526608469,0.0021896820892915296
76,Doctor told you to reduce fat/calories_2.0,-0.002382843526608469,0.0031771247021445573
77,Doctor told you to reduce fat/calories_1.0,-0.0027005559968229288,0.0021665101980914677
78,Doctor told you to exercise_2.0,-0.002859412231930136,0.004593115899857318
