,feature,weight,std
0,How often do you snort or stop breathing_3.0,0.009213661636219218,0.0022800159006207293
1,How often do you snort or stop breathing_5.397605346934027e-79,0.004606830818109664,0.001540168342308621
2,How often feel overly sleepy during day?_4.0,0.003335980937251848,0.0037051322604259294
3,How often do you snort or stop breathing_1.0,0.0033359809372518257,0.0005943856055240643
4,How often feel overly sleepy during day?_3.0,0.0025416997617156768,0.0017689481692867628
5,How often do you snore?_1.0,0.002065131056393987,0.0016355250422537123
6,How often do you snore?_2.0,0.001588562351072298,0.0008700914336857386
7,Covered by health insurance_2.0,0.0011119936457506308,0.002639117986630042
8,Covered by health insurance_1.0,0.00047656870532168937,0.001852566130212984
9,How often feel overly sleepy during day?_5.397605346934027e-79,0.0001588562351072298,0.0012708498808578382
10,How often do you snore?_7.0,0.0,0.0
11,Covered by health insurance_7.0,0.0,0.0
12,How often do you snort or stop breathing_7.0,0.0,0.0
13,How often do you snore?_5.397605346934027e-79,-0.000635424940428897,0.0015401683423085844
14,Time when no insurance in past year?,-0.001270849880857816,0.0012905541548269813
15,How often feel overly sleepy during day?_1.0,-0.0014297061159650238,0.003030783801165818
16,How often feel overly sleepy during day?_2.0,-0.002065131056393943,0.0014731721200151747
17,Do plans cover prescriptions?,-0.003018268467037277,0.0012708498808577994
18,Sleep hours,-0.0031771247021445516,0.0030140851407482448
19,Usual sleep time on weekdays or workdays,-0.003653693407466241,0.004565562466465428
20,How often do you snore?_3.0,-0.004447974583002367,0.00238813286391942
21,How often do you snort or stop breathing_2.0,-0.006195393169181851,0.0013665330050901868
22,Usual wake time on weekdays or workdays,-0.006354249404289103,0.0024091740886581486
