,feature,weight,std
0,Seen mental health professional/past yr_1.0,0.012231930103256582,0.001710934013386677
1,#times receive healthcare over past year,0.00984908657664818,0.0025908667879745878
2,Seen mental health professional/past yr_2.0,0.008101667990468676,0.0016961204530629283
3,How often do you snort or stop breathing_3.0,0.0050833995234313535,0.0013848765507675055
4,How often do you snort or stop breathing_5.397605346934027e-79,0.004765687053216894,0.0022465664215617336
5,How often feel overly sleepy during day?_3.0,0.003653693407466285,0.0010774154063741615
6,Sleep hours,0.0033359809372518257,0.001971354034311517
7,How often feel overly sleepy during day?_4.0,0.0033359809372518257,0.001971354034311517
8,Usual wake time on weekdays or workdays,0.003018268467037366,0.001971354034311517
9,General health condition_5.0,0.0025416997617156768,0.0013665330050901868
10,Health now compared with 1 year ago_2.0,0.002223987291501217,0.000926283065106492
11,How often feel overly sleepy during day?_5.397605346934027e-79,0.00158856235107232,0.0032941130029114736
12,Routine place to go for healthcare_2.0,0.001429706115965068,0.0005943856055240642
13,Type place most often go for healthcare,0.0012708498808578828,0.003429234812537382
14,How often do you snort or stop breathing_2.0,0.0012708498808578384,0.0010774154063741615
15,How often feel overly sleepy during day?_1.0,0.0006354249404289414,0.00116735015541691
16,Ever told you have Hepatitis B?_2.0,0.0006354249404289192,0.0003177124702144596
17,General health condition_1.0,0.0001588562351072964,0.0015401683423085686
18,How often do you snore?_7.0,0.0,0.0
19,How often do you snort or stop breathing_7.0,0.0,0.0
20,General health condition_7.0,0.0,0.0
21,Ever told you have Hepatitis B?_7.0,0.0,0.0
22,Ever told you have Hepatitis B?_1.0,0.0,0.0
23,Routine place to go for healthcare_1.0,-0.00015885623510718537,0.0012708498808577883
24,General health condition_4.0,-0.00031771247021439297,0.0015564668738891952
25,Overnight hospital patient in last year_2.0,-0.00047656870532160057,0.0006354249404288747
26,General health condition_3.0,-0.00047656870532162274,0.0021074661098366048
27,Usual sleep time on weekdays or workdays,-0.0006354249404288525,0.0039041161961698126
28,How often feel overly sleepy during day?_2.0,-0.0006354249404288747,0.0018388938685925391
29,General health condition_2.0,-0.0012708498808577495,0.0016355250422536735
30,Overnight hospital patient in last year_1.0,-0.001429706115964957,0.0005943856055240643
31,Ever told you have Hepatitis C?_2.0,-0.001588562351072187,0.0005023475234580486
32,Health now compared with 1 year ago_3.0,-0.001588562351072209,0.002356218740935871
33,How often do you snore?_5.397605346934027e-79,-0.001588562351072209,0.0015070425703741107
34,How often do you snore?_1.0,-0.002065131056393876,0.00147317212001522
35,Health now compared with 1 year ago_1.0,-0.002223987291501106,0.0010537330549183282
36,How often do you snore?_2.0,-0.002382843526608358,0.0020712318999849457
37,How often do you snore?_3.0,-0.0027005559968227956,0.001290554154827014
38,Ever told you have Hepatitis C?_1.0,-0.002859412231930025,0.000810011042667648
39,How often do you snort or stop breathing_1.0,-0.003653693407466174,0.0013848765507675055
