,feature,weight,std
0,How often do you snort or stop breathing_5.397605346934027e-79,0.00889594916600478,0.0034218680267733225
1,How often do you snort or stop breathing_3.0,0.007783955520254149,0.0005943856055240643
2,How often feel overly sleepy during day?_4.0,0.00555996822875302,0.0013290866187991425
3,Ever told you have Hepatitis C?_1.0,0.0025416997617156768,0.0005943856055240643
4,Ever told you have Hepatitis C?_2.0,0.0019062748212867575,0.0016355250422537123
5,Ever told you have Hepatitis B?_2.0,0.001429706115965068,0.0005943856055240642
6,Ever told you have Hepatitis B?_1.0,0.0011119936457506085,0.0021074661098366564
7,How often feel overly sleepy during day?_1.0,0.0011119936457506085,0.000810011042667648
8,How often feel overly sleepy during day?_3.0,0.000794281175536149,0.0020712318999849795
9,How often do you snore?_2.0,0.0003177124702144596,0.0010774154063741615
10,How often do you snore?_3.0,2.2204460492503132e-17,0.0029719280276202975
11,How often do you snore?_7.0,0.0,0.0
12,Ever told you have Hepatitis B?_7.0,0.0,0.0
13,How often do you snort or stop breathing_7.0,0.0,0.0
14,How often do you snort or stop breathing_1.0,-0.0001588562351072298,0.0013665330050901868
15,Usual wake time on weekdays or workdays,-0.0011119936457505864,0.0025416997617156447
16,How often do you snore?_1.0,-0.0011119936457506085,0.00038911671847231236
17,How often feel overly sleepy during day?_2.0,-0.0015885623510722535,0.0022465664215616946
18,How often feel overly sleepy during day?_5.397605346934027e-79,-0.00270055599682284,0.0019841137405554594
19,How often do you snort or stop breathing_2.0,-0.0031771247021445516,0.001420853361397768
20,How often do you snore?_5.397605346934027e-79,-0.004924543288324035,0.002629538579387905
21,Sleep hours,-0.007466243050039689,0.003354839091651012
22,Usual sleep time on weekdays or workdays,-0.010325655281969803,0.004972986764892323
