,feature,weight,std
0,Seen mental health professional/past yr_2.0,0.016679904686258972,0.0018796123218743565
1,Seen mental health professional/past yr_1.0,0.009849086576648135,0.0016355250422537123
2,#times receive healthcare over past year,0.0049245432883241015,0.005008382135165806
3,How often feel overly sleepy during day?_5.397605346934027e-79,0.0033359809372518257,0.0033093989922160284
4,How often feel overly sleepy during day?_1.0,0.0027005559968229067,0.0013848765507675055
5,General health condition_2.0,0.002382843526608447,0.0007104266806989088
6,Sleep hours,0.001588562351072298,0.0011232832107808668
7,General health condition_1.0,0.0012708498808578384,0.0021665101980915032
8,How often do you snore?_3.0,0.0011119936457506085,0.0013848765507675055
9,Health now compared with 1 year ago_1.0,0.0011119936457506085,0.0015564668738892494
10,Usual wake time on weekdays or workdays,0.0009531374106433787,0.001696120453062976
11,Routine place to go for healthcare_1.0,0.0009531374106433787,0.0013665330050901868
12,Health now compared with 1 year ago_3.0,0.000794281175536149,0.0005023475234580486
13,Usual sleep time on weekdays or workdays,0.00031771247021448177,0.002997293449422264
14,How often do you snort or stop breathing_3.0,0.0001588562351072298,0.0013665330050901868
15,General health condition_7.0,0.0,0.0
16,How often do you snort or stop breathing_7.0,0.0,0.0
17,How often do you snore?_7.0,0.0,0.0
18,How often do you snore?_1.0,-0.0001588562351072298,0.0005943856055240643
19,Routine place to go for healthcare_2.0,-0.0001588562351072298,0.000926283065106492
20,How often do you snore?_2.0,-0.0003177124702144596,0.000810011042667648
21,Overnight hospital patient in last year_2.0,-0.000635424940428897,0.001167350155416904
22,General health condition_4.0,-0.000635424940428897,0.0014559414439891249
23,How often do you snort or stop breathing_1.0,-0.0009531374106433787,0.0005943856055240643
24,How often do you snort or stop breathing_5.397605346934027e-79,-0.001111993645750564,0.001077415406374109
25,Overnight hospital patient in last year_1.0,-0.001111993645750564,0.0017109340133866235
26,General health condition_5.0,-0.0012708498808578384,0.00038911671847231236
27,How often do you snore?_5.397605346934027e-79,-0.0015885623510722535,0.0011232832107808198
28,How often feel overly sleepy during day?_2.0,-0.0015885623510722758,0.0013290866187991423
29,How often feel overly sleepy during day?_3.0,-0.0017474185861794834,0.0015401683423085686
30,How often do you snort or stop breathing_2.0,-0.002223987291501128,0.000778233436944584
31,Health now compared with 1 year ago_2.0,-0.00238284352660838,0.0013290866187991423
32,General health condition_3.0,-0.00238284352660838,0.0007104266806988592
33,Type place most often go for healthcare,-0.002700555996822862,0.001384876550767452
34,How often feel overly sleepy during day?_4.0,-0.003335980937251737,0.001167350155416904
