,feature,weight,std
0,How often do you snort or stop breathing_3.0,0.008737092930897528,0.0016660982496746047
1,Usual wake time on weekdays or workdays,0.0058776806989673915,0.00147317212001522
2,How often do you snort or stop breathing_5.397605346934027e-79,0.005718824463860206,0.0038716624644809998
3,How often feel overly sleepy during day?_4.0,0.004765687053216805,0.0022465664215616946
4,Number of rooms in home,0.0044479745830023456,0.0017831568165721573
5,Received Hepatitis B 3 dose series_1.0,0.0034948371723589667,0.0019194671919927652
6,Sleep hours,0.0030182684670372996,0.0028149396579299785
7,How often do you snore?_2.0,0.002700555996822862,0.0008100110426676
8,Usual sleep time on weekdays or workdays,0.0023828435266084027,0.0018112397539302948
9,How often do you snort or stop breathing_1.0,0.0022239872915011728,0.001366533005090143
10,How often feel overly sleepy during day?_3.0,0.002065131056393943,0.0026865027045730955
11,How often feel overly sleepy during day?_5.397605346934027e-79,0.0020651310563939208,0.0031210298180124655
12,How often do you snore?_3.0,0.0015885623510722535,0.0024091740886581343
13,Received Hepatitis A vaccine_2.0,0.0011119936457506085,0.0006354249404289192
14,How often do you snort or stop breathing_2.0,0.000794281175536149,0.0005023475234580486
15,Received Hepatitis A vaccine_1.0,0.000794281175536149,0.0011232832107808668
16,How often do you snore?_1.0,0.0007942811755361267,0.0021312800420967017
17,How often feel overly sleepy during day?_2.0,0.00047656870532168937,0.001852566130212984
18,"Home owned, bought, rented, other",0.0001588562351072076,0.0028149396579300085
19,Received Hepatitis A vaccine_7.0,0.0,0.0
20,How often do you snore?_7.0,0.0,0.0
21,How often do you snort or stop breathing_7.0,0.0,0.0
22,Received Hepatitis B 3 dose series_7.0,0.0,0.0
23,Received Hepatitis B 3 dose series_2.0,-0.0001588562351072298,0.0003177124702144596
24,How often feel overly sleepy during day?_1.0,-0.0006354249404289414,0.001971354034311474
25,How often do you snore?_5.397605346934027e-79,-0.0017474185861795278,0.0013665330050901868
26,Received Hepatitis A vaccine_3.0,-0.003018268467037366,0.0019062748212867575
27,Received Hepatitis B 3 dose series_3.0,-0.0034948371723590556,0.0011887712110481286
