,feature,weight,std
0,How often do you snort or stop breathing_1.0,0.003971405877680634,0.0026102743010572157
1,How often do you snore?_3.0,0.003812549642573426,0.0026295385793879077
2,How often feel overly sleepy during day?_4.0,0.0022239872915011507,0.0028594122319300893
3,How often do you snort or stop breathing_5.397605346934027e-79,0.0022239872915011507,0.0030721333766185388
4,How often feel overly sleepy during day?_1.0,0.001906274821286713,0.0026865027045730925
5,How often do you snort or stop breathing_3.0,0.0015885623510722314,0.0011232832107808198
6,How often feel overly sleepy during day?_3.0,0.0009531374106433122,0.001768948169286709
7,"Home owned, bought, rented, other",0.0006354249404288525,0.0016961204530629285
8,How often do you snore?_7.0,0.0,0.0
9,How often do you snort or stop breathing_7.0,0.0,0.0
10,Number of rooms in home,-0.001111993645750653,0.004280283903195396
11,How often feel overly sleepy during day?_2.0,-0.0012708498808578605,0.002166510198091474
12,How often do you snort or stop breathing_2.0,-0.0025416997617156768,0.0013665330050901868
13,How often feel overly sleepy during day?_5.397605346934027e-79,-0.003018268467037366,0.0013665330050901868
14,How often do you snore?_1.0,-0.0034948371723590556,0.0026865027045731467
15,Usual sleep time on weekdays or workdays,-0.003653693407466285,0.0024915626912403975
16,How often do you snore?_5.397605346934027e-79,-0.004765687053216894,0.0013290866187991822
17,How often do you snore?_2.0,-0.005401111993645813,0.0003177124702144596
18,Usual wake time on weekdays or workdays,-0.005718824463860228,0.003601519951947451
19,Sleep hours,-0.006830818109610859,0.004006201815065451
