,feature,weight,std
0,How often do you snort or stop breathing_3.0,0.006989674344717978,0.0023238663762236316
1,How often feel overly sleepy during day?_4.0,0.005401111993645702,0.002377542422096257
2,How often feel overly sleepy during day?_5.397605346934027e-79,0.003177124702144507,0.0023020455514200814
3,How often feel overly sleepy during day?_1.0,0.001111993645750542,0.0016355250422536714
4,How often do you snort or stop breathing_5.397605346934027e-79,0.0009531374106433122,0.0021548308127482705
5,Received Hepatitis B 3 dose series_3.0,0.0009531374106433122,0.005534948813402505
6,Received Hepatitis A vaccine_2.0,0.0009531374106432899,0.0007782334369445976
7,How often do you snore?_5.397605346934027e-79,0.0007942811755360824,0.0018796123218743565
8,Received Hepatitis B 3 dose series_2.0,0.0007942811755360602,0.0005023475234580135
9,How often do you snore?_3.0,0.00047656870532164497,0.002046719416477365
10,Received Hepatitis B 3 dose series_7.0,0.0,0.0
11,How often do you snore?_7.0,0.0,0.0
12,How often do you snort or stop breathing_7.0,0.0,0.0
13,Received Hepatitis A vaccine_7.0,0.0,0.0
14,Received Hepatitis A vaccine_3.0,-0.000317712470214504,0.002280015900620684
15,How often do you snore?_1.0,-0.000317712470214504,0.0024915626912403563
16,Received Hepatitis B 3 dose series_1.0,-0.000476568705321756,0.0026865027045730955
17,Usual wake time on weekdays or workdays,-0.0007942811755361934,0.0034439211101952014
18,Usual sleep time on weekdays or workdays,-0.001111993645750653,0.0035378963385734722
19,How often feel overly sleepy during day?_2.0,-0.001429706115965068,0.0012708498808578382
20,How often do you snort or stop breathing_1.0,-0.0014297061159651125,0.0019062748212867056
21,Received Hepatitis A vaccine_1.0,-0.001747418586179572,0.0039041161961698135
22,How often do you snort or stop breathing_2.0,-0.0025416997617156768,0.001540168342308621
23,Sleep hours,-0.002541699761715699,0.0018388938685925504
24,How often do you snore?_2.0,-0.002859412231930136,0.00147317212001522
25,How often feel overly sleepy during day?_3.0,-0.00603653693407471,0.00238813286391944
