,feature,weight,std
0,Monthly family income,0.005083399523431331,0.0029972934494222688
1,How often do you snore?_1.0,0.004606830818109642,0.001768948169286721
2,How often do you snort or stop breathing_3.0,0.004447974583002434,0.00147317212001522
3,Leak urine during physical activities,0.0034948371723590556,0.0011887712110481286
4,Income from other disability pension,0.003177124702144596,0.002561479824717599
5,How often have urinary leakage,0.002700555996822884,0.0030803366846172044
6,How often do you snort or stop breathing_5.397605346934027e-79,0.0025416997617156768,0.0012708498808578384
7,Income from retirement/survivor pension,0.002382843526608447,0.0011232832107808668
8,Income from Supplemental Security Income,0.002382843526608447,0.0013290866187991822
9,Usual sleep time on weekdays or workdays,0.002223987291501195,0.004031319313883893
10,How often do you snort or stop breathing_1.0,0.002065131056393987,0.0009531374106433788
11,Family monthly poverty level category,0.002065131056393987,0.0019194671919928056
12,"Family has savings more than $20,000",0.0017474185861795278,0.0010537330549183282
13,Ever told you had weak/failing kidneys,0.001588562351072298,0.0005023475234580486
14,Usual wake time on weekdays or workdays,0.001429706115965068,0.0018388938685925907
15,How often feel overly sleepy during day?_4.0,0.001429706115965068,0.0026295385793879333
16,Ever had kidney stones?,0.0012708498808578384,0.000810011042667648
17,Total savings/cash assets for the family,0.0012708498808578384,0.0010774154063741615
18,How often feel overly sleepy during day?_5.397605346934027e-79,0.0012708498808578384,0.001852566130212984
19,Income from other sources,0.0011119936457506085,0.0013848765507675055
20,How often do you snore?_2.0,0.0009531374106433787,0.0012708498808578382
21,How often feel overly sleepy during day?_3.0,0.0007942811755361712,0.0031371592784958722
22,How often feel overly sleepy during day?_2.0,0.000794281175536149,0.001588562351072298
23,Family monthly poverty level index,0.00031771247021448177,0.0019194671919927652
24,How do you get to the grocery store?,0.0003177124702144596,0.0009531374106433787
25,How often feel overly sleepy during day?_1.0,0.0003177124702144596,0.001710934013386677
26,How often do you snort or stop breathing_2.0,0.0001588562351072298,0.000926283065106492
27,Income from interest/dividends or rental,0.0001588562351072298,0.0005943856055240643
28,How often do you snore?_7.0,0.0,0.0
29,How often do you snort or stop breathing_7.0,0.0,0.0
30,Income from wages/salaries,0.0,0.0020712318999849795
31,Urinated before reaching the toilet,-0.0001588562351072076,0.0015401683423085775
32,Income from self employment,-0.0001588562351072298,0.000926283065106492
33,How often do you snore?_5.397605346934027e-79,-0.0001588562351072298,0.0013665330050901868
34,Leak urine during nonphysical activities,-0.00047656870532168937,0.0006354249404289191
35,Sleep hours,-0.0007942811755361267,0.0015885623510722648
36,Income from state/county cash assistance,-0.0009531374106433787,0.0005943856055240643
37,How often do you snore?_3.0,-0.0015885623510722535,0.0016660982496745518
38,Income from Social Security or RR,-0.0038125496425734486,0.0025317517792707105
39,How many times urinate in night?,-0.004606830818109575,0.0024300331280029163
