,feature,weight,std
0,How often feel overly sleepy during day?_4.0,0.006354249404289103,0.0026581732375983245
1,How often do you snort or stop breathing_5.397605346934027e-79,0.004765687053216783,0.0026581732375983644
2,How often do you snort or stop breathing_1.0,0.004447974583002323,0.00038911671847231236
3,Usual sleep time on weekdays or workdays,0.004130262112787908,0.004214932219673266
4,How often do you snort or stop breathing_3.0,0.003812549642573426,0.0012708498808577994
5,Usual wake time on weekdays or workdays,0.0036536934074661966,0.0023881328639194315
6,Income from other disability pension,0.0034948371723589667,0.0014731721200151795
7,Sleep hours,0.002859412231930092,0.004453644406314913
8,How often do you snore?_1.0,0.002859412231930092,0.0022800159006206764
9,Income from Social Security or RR,0.002065131056393943,0.0028682240008368063
10,How often feel overly sleepy during day?_2.0,0.0020651310563939208,0.001635525042253667
11,How often feel overly sleepy during day?_1.0,0.0017474185861795055,0.0007782334369445841
12,Income from other sources,0.0011119936457505864,0.0010774154063741353
13,"Family has savings more than $20,000",0.001111993645750564,0.002388132863919427
14,Income from state/county cash assistance,0.0003177124702144596,0.0003891167184723124
15,Monthly family income,0.0003177124702144152,0.003465833872799267
16,How often do you snore?_7.0,0.0,0.0
17,How often do you snort or stop breathing_7.0,0.0,0.0
18,Family monthly poverty level index,-2.2204460492503132e-17,0.0022465664215617024
19,Income from self employment,-0.0001588562351072298,0.0017689481692867628
20,How often do you snore?_2.0,-0.0006354249404289192,0.0007782334369446246
21,Income from Supplemental Security Income,-0.000794281175536149,0.0013290866187991822
22,Income from interest/dividends or rental,-0.000794281175536149,0.0013290866187991822
23,Total savings/cash assets for the family,-0.0009531374106433787,0.001620022085335296
24,How do you get to the grocery store?,-0.001429706115965068,0.0013665330050901868
25,Income from retirement/survivor pension,-0.001429706115965068,0.0007782334369446247
26,How often feel overly sleepy during day?_5.397605346934027e-79,-0.0017474185861795278,0.0019713540343115174
27,How often do you snore?_5.397605346934027e-79,-0.0017474185861795278,0.0012708498808578382
28,How often do you snore?_3.0,-0.0027005559968229067,0.0015564668738892496
29,How often do you snort or stop breathing_2.0,-0.003812549642573515,0.0014559414439891637
30,Family monthly poverty level category,-0.003812549642573515,0.0013665330050901868
31,How often feel overly sleepy during day?_3.0,-0.004289118347895205,0.001290554154827014
32,Income from wages/salaries,-0.00603653693407471,0.0025908667879746042
