,feature,weight,std
0,How often do you snort or stop breathing_5.397605346934027e-79,0.010007942811755344,0.0037119369167745615
1,How often feel overly sleepy during day?_4.0,0.006671961874503585,0.0016355250422536714
2,Urinated before reaching the toilet,0.004130262112787974,0.0014559414439891637
3,Leak urine during nonphysical activities,0.0033359809372518257,0.0005943856055240642
4,How often feel overly sleepy during day?_3.0,0.0019062748212867575,0.00147317212001522
5,How many times urinate in night?,0.0017474185861795055,0.002903203635027332
6,How often feel overly sleepy during day?_1.0,0.001588562351072298,0.0021312800420967264
7,Usual wake time on weekdays or workdays,0.0014297061159650904,0.0037390317064145595
8,How often feel overly sleepy during day?_2.0,0.0011119936457506085,0.0010774154063741615
9,How often do you snore?_1.0,0.0011119936457506085,0.00147317212001522
10,How often do you snore?_2.0,0.000794281175536149,0.0014208533613978176
11,How often do you snort or stop breathing_2.0,0.000794281175536149,0.0005023475234580486
12,How often do you snort or stop breathing_3.0,0.000794281175536149,0.0014208533613978176
13,How often do you snore?_5.397605346934027e-79,0.0006354249404289192,0.0003177124702144596
14,How often do you snore?_7.0,0.0,0.0
15,How often do you snort or stop breathing_7.0,0.0,0.0
16,How often do you snore?_3.0,-0.0001588562351072298,0.0010537330549183282
17,Leak urine during physical activities,-0.0009531374106433787,0.0016200220853352957
18,Ever told you had weak/failing kidneys,-0.0011119936457506085,0.0014731721200152202
19,How often have urinary leakage,-0.001429706115965068,0.0029032036350273675
20,How often feel overly sleepy during day?_5.397605346934027e-79,-0.0015885623510722758,0.0026581732375983314
21,Usual sleep time on weekdays or workdays,-0.0015885623510722758,0.0021896820892915296
22,Sleep hours,-0.0019062748212867354,0.004860066256005849
23,How often do you snort or stop breathing_1.0,-0.0031771247021445737,0.0014208533613977803
24,Ever had kidney stones?,-0.0033359809372518036,0.0007782334369445841
