,feature,weight,std
0,Trouble sleeping or sleeping too much,0.021286735504368593,0.004447974583002352
1,Doctor ever said you had arthritis,0.011437648927720433,0.001290554154827014
2,Difficulty these problems have caused,0.00937251787132649,0.002095457658184714
3,Trouble concentrating on things,0.00730738681493257,0.000926283065106492
4,How often feel overly sleepy during day?_1.0,0.006354249404289192,0.0018796123218744036
5,Doctor told you to reduce fat/calories_1.0,0.006354249404289169,0.003177124702144563
6,Moving or speaking slowly or too fast,0.006036536934074732,0.000810011042667648
7,How often do you snort or stop breathing_3.0,0.005718824463860272,0.0010537330549183282
8,Doctor ever said you were overweight_1.0,0.005718824463860272,0.0013665330050901868
9,Doctor ever said you were overweight_2.0,0.005401111993645813,0.0018388938685925907
10,Feeling bad about yourself,0.005242255758538583,0.0021074661098366564
11,Doctor told you to reduce salt in diet_2.0,0.004765687053216894,0.002409174088658185
12,Have little interest in doing things,0.003971405877680745,0.0008700914336857385
13,Are you now reducing fat in diet_2.0,0.003653693407466285,0.0009531374106433788
14,How often feel overly sleepy during day?_3.0,0.003653693407466285,0.0010774154063741615
15,Any metal objects inside your body?,0.0034948371723590556,0.0009531374106433787
16,Ever receive blood transfusion_2.0,0.0033359809372518257,0.0007782334369446247
17,Close relative had heart attack?,0.003177124702144596,0.0016660982496746045
18,How often feel overly sleepy during day?_4.0,0.003177124702144596,0.001230495106023022
19,Close relative had asthma?_2.0,0.003018268467037366,0.0023238663762236637
20,Feeling tired or having little energy,0.002859412231930136,0.00147317212001522
21,"Feeling down, depressed, or hopeless",0.002859412231930136,0.001852566130212984
22,Are you now reducing fat in diet_1.0,0.002859412231930136,0.001290554154827014
23,How often feel overly sleepy during day?_2.0,0.0027005559968229067,0.00147317212001522
24,How often do you snore?_2.0,0.0025416997617156768,0.001540168342308621
25,Ever receive blood transfusion_1.0,0.0025416997617156768,0.0005943856055240643
26,Are you now controlling or losing weight_1.0,0.0025416997617156768,0.0010537330549183282
27,Ever told you had chronic bronchitis,0.0025416997617156768,0.001167350155416937
28,Doctor told you to exercise_2.0,0.002223987291501239,0.0020954576581847205
29,How often do you snort or stop breathing_2.0,0.002223987291501217,0.000926283065106492
30,Usual sleep time on weekdays or workdays,0.001906274821286802,0.002954896781213369
31,How often do you snort or stop breathing_1.0,0.0019062748212867575,0.00038911671847231236
32,Taking treatment for anemia/past 3 mos_1.0,0.0019062748212867575,0.0006354249404289191
33,Ever told you had coronary heart disease,0.0019062748212867575,0.00038911671847231236
34,Ever told you had COPD?,0.0017474185861795278,0.0005943856055240643
35,Ever told you had thyroid problem,0.0017474185861795278,0.0007782334369446247
36,Poor appetite or overeating,0.00158856235107232,0.0019455835923615345
37,Usual wake time on weekdays or workdays,0.0012708498808578605,0.0019194671919927817
38,Close relative had diabetes?,0.0012708498808578605,0.002166510198091474
39,Ever been told you have jaundice?_1.0,0.0012708498808578384,0.0006354249404289191
40,How often do you snore?_1.0,0.0011119936457506085,0.000810011042667648
41,How often do you snort or stop breathing_5.397605346934027e-79,0.000953137410643401,0.0013665330050901584
42,How often do you snore?_3.0,0.0009531374106433787,0.0005943856055240643
43,Ever told you had a stroke,0.0009531374106433787,0.0005943856055240643
44,Ever told you had emphysema,0.0009531374106433787,0.0003177124702144596
45,Taking treatment for anemia/past 3 mos_2.0,0.0009531374106433787,0.0003177124702144596
46,Ever told had congestive heart failure,0.0006354249404289414,0.000778233436944584
47,Doctor told you to lose weight_1.0,0.0006354249404289414,0.0013665330050901506
48,Ever been told you have jaundice?_2.0,0.0006354249404289192,0.0003177124702144596
49,Are you now reducing salt in diet_1.0,0.000476568705321756,0.002911882887978274
50,Sleep hours,0.000476568705321756,0.002166510198091464
51,How often feel overly sleepy during day?_5.397605346934027e-79,0.00047656870532173377,0.001384876550767452
52,Ever been told you have asthma_1.0,0.0004765687053217116,0.0006354249404288747
53,Ever told you had any liver condition,0.00047656870532168937,0.0006354249404289191
54,Ever been told you have asthma_2.0,0.00031771247021448177,0.0010774154063741223
55,Doctor told you to lose weight_2.0,0.0001588562351072742,0.0023238663762236225
56,Ever told you had cancer or malignancy,0.000158856235107252,0.0005943856055240287
57,How often do you snore?_5.397605346934027e-79,4.4408920985006264e-17,0.001507042570374099
58,Thought you would be better off dead,0.0,0.0
59,How often do you snore?_7.0,0.0,0.0
60,How often do you snort or stop breathing_7.0,0.0,0.0
61,Are you now increasing exercise_2.0,-0.00015885623510718537,0.0018388938685925467
62,Ever told you had angina/angina pectoris,-0.0001588562351072076,0.0003177124702144152
63,Doctor ever told you that you had gout?,-0.00031771247021439297,0.0010774154063741158
64,Ever told you had heart attack,-0.00047656870532162274,0.0008100110426676
65,Are you now reducing salt in diet_2.0,-0.0007942811755360602,0.0013290866187991423
66,Doctor told you to reduce fat/calories_2.0,-0.0009531374106433122,0.0015401683423085708
67,Doctor told you to reduce salt in diet_1.0,-0.0012708498808577495,0.0009531374106433491
68,Are you now controlling or losing weight_2.0,-0.0015885623510722314,0.0025117376172902007
69,Are you now increasing exercise_1.0,-0.002223987291501128,0.0013665330050901506
70,Close relative had asthma?_1.0,-0.002382843526608336,0.0014208533613978176
71,Doctor told you to exercise_1.0,-0.0027005559968227956,0.001290554154827014
