,feature,weight,std
0,Doctor ever said you had arthritis,0.013185067513899917,0.004037574273912258
1,Doctor told you to lose weight_1.0,0.008419380460683069,0.0011887712110481286
2,Doctor told you to exercise_2.0,0.006671961874503562,0.0010774154063741223
3,Doctor told you to exercise_1.0,0.006195393169181873,0.0022126113228251054
4,Ever told you had chronic bronchitis,0.006036536934074688,0.0018525661302129387
5,Doctor ever said you were overweight_1.0,0.0060365369340746435,0.0009531374106433491
6,Doctor told you to reduce salt in diet_1.0,0.005718824463860206,0.0020343524185648214
7,Close relative had diabetes?,0.0055599682287529985,0.0012304951060229789
8,Doctor told you to reduce salt in diet_2.0,0.005559968228752976,0.0019455835923615167
9,Sleep hours,0.005242255758538516,0.003200864444735478
10,How often feel overly sleepy during day?_4.0,0.0047656870532168496,0.0015885623510722535
11,Usual wake time on weekdays or workdays,0.00428911834789516,0.002440395789632576
12,How often feel overly sleepy during day?_3.0,0.003812549642573515,0.0007782334369446247
13,Are you now increasing exercise_2.0,0.003653693407466285,0.000810011042667648
14,Doctor told you to lose weight_2.0,0.003494837172359033,0.0017109340133866502
15,How often do you snore?_1.0,0.0033359809372518257,0.0007782334369446247
16,How often do you snore?_3.0,0.0031771247021445737,0.0023020455514200892
17,How often feel overly sleepy during day?_5.397605346934027e-79,0.003018268467037366,0.001167350155416937
18,Doctor ever said you were overweight_2.0,0.0030182684670373217,0.0038389343839855634
19,Close relative had asthma?_2.0,0.002859412231930136,0.0011887712110481286
20,Are you now reducing salt in diet_2.0,0.002859412231930136,0.00147317212001522
21,Taking treatment for anemia/past 3 mos_1.0,0.002859412231930136,0.0006354249404289192
22,Usual sleep time on weekdays or workdays,0.002859412231930114,0.00565224682276637
23,Close relative had heart attack?,0.0027005559968229067,0.0010774154063741615
24,Are you now controlling or losing weight_1.0,0.0025416997617156768,0.0003177124702144596
25,Doctor told you to reduce fat/calories_2.0,0.002382843526608447,0.0016660982496746045
26,Are you now reducing salt in diet_1.0,0.002382843526608447,0.0015070425703741458
27,How often do you snort or stop breathing_3.0,0.002382843526608447,0.0008700914336857385
28,Are you now reducing fat in diet_2.0,0.002223987291501217,0.001167350155416937
29,How often feel overly sleepy during day?_1.0,0.002223987291501217,0.000926283065106492
30,How often do you snort or stop breathing_5.397605346934027e-79,0.002065131056393987,0.00147317212001522
31,How often do you snore?_5.397605346934027e-79,0.002065131056393987,0.000810011042667648
32,Ever told you had cancer or malignancy,0.002065131056393987,0.00038911671847231236
33,Ever told you had COPD?,0.0017474185861795278,0.001167350155416937
34,Are you now reducing fat in diet_1.0,0.0017474185861795278,0.0010537330549183282
35,Doctor ever told you that you had gout?,0.001588562351072298,0.0005023475234580486
36,How often do you snort or stop breathing_2.0,0.001588562351072298,0.0007104266806989088
37,Ever told had congestive heart failure,0.001588562351072298,0.0019455835923615618
38,Ever told you had coronary heart disease,0.0012708498808578384,0.000810011042667648
39,Doctor told you to reduce fat/calories_1.0,0.0011119936457506085,0.0016355250422537123
40,Ever told you had heart attack,0.0011119936457506085,0.0010774154063741615
41,Ever told you had emphysema,0.0011119936457506085,0.00038911671847231236
42,Ever receive blood transfusion_1.0,0.000794281175536149,0.0010046950469160972
43,Are you now increasing exercise_1.0,0.0006354249404289192,0.000926283065106492
44,Ever told you had thyroid problem,0.0006354249404289192,0.000926283065106492
45,How often feel overly sleepy during day?_2.0,0.0006354249404289192,0.0005943856055240643
46,Ever told you had any liver condition,0.00047656870532168937,0.0006354249404289191
47,Ever been told you have asthma_1.0,0.00047656870532168937,0.0009531374106433787
48,Ever receive blood transfusion_2.0,0.0003177124702144596,0.0006354249404289192
49,Are you now controlling or losing weight_2.0,0.0003177124702144596,0.0019194671919928058
50,Close relative had asthma?_1.0,0.0001588562351072298,0.0007782334369446246
51,Ever told you had angina/angina pectoris,0.0001588562351072298,0.0003177124702144596
52,Any metal objects inside your body?,0.0,0.0010046950469160972
53,How often do you snore?_7.0,0.0,0.0
54,How often do you snort or stop breathing_7.0,0.0,0.0
55,Ever been told you have jaundice?_2.0,-0.0003177124702144596,0.0003891167184723124
56,Ever told you had a stroke,-0.0006354249404289192,0.000926283065106492
57,Ever been told you have asthma_2.0,-0.0006354249404289192,0.0017689481692867628
58,Ever been told you have jaundice?_1.0,-0.001429706115965068,0.0003177124702144596
59,How often do you snore?_2.0,-0.001906274821286713,0.002778849195319424
60,How often do you snort or stop breathing_1.0,-0.002223987291501217,0.0012708498808578382
61,Taking treatment for anemia/past 3 mos_2.0,-0.002859412231930114,0.0010774154063741223
