,feature,weight,std
0,Trouble sleeping or sleeping too much,0.019857029388403502,0.002409174088658185
1,How often do you snort or stop breathing_5.397605346934027e-79,0.010961080222398745,0.0013665330050901868
2,Difficulty these problems have caused,0.007783955520254193,0.0032322462191224375
3,Trouble concentrating on things,0.004606830818109619,0.0024300331280028903
4,Usual sleep time on weekdays or workdays,0.004447974583002434,0.00147317212001522
5,Poor appetite or overeating,0.004447974583002412,0.0014731721200151914
6,How often feel overly sleepy during day?_3.0,0.0034948371723590556,0.0010774154063741615
7,Feeling tired or having little energy,0.003018268467037366,0.0010537330549183282
8,Feeling bad about yourself,0.002859412231930136,0.000810011042667648
9,How often do you snore?_5.397605346934027e-79,0.0025416997617156768,0.0020343524185648682
10,How often feel overly sleepy during day?_2.0,0.0019062748212867575,0.0021074661098366564
11,"Feeling down, depressed, or hopeless",0.0017474185861795278,0.004476251883591842
12,How often feel overly sleepy during day?_1.0,0.0012708498808578384,0.0021665101980915032
13,How often do you snort or stop breathing_1.0,0.0011119936457506085,0.000810011042667648
14,How often do you snort or stop breathing_3.0,0.0009531374106433787,0.000926283065106492
15,How often do you snore?_2.0,0.0006354249404289192,0.0012708498808578382
16,How often do you snore?_1.0,0.0006354249404289192,0.0007782334369446246
17,How often do you snort or stop breathing_2.0,0.0006354249404289192,0.0007782334369446248
18,How often feel overly sleepy during day?_4.0,0.00047656870532168937,0.00147317212001522
19,Thought you would be better off dead,0.00047656870532168937,0.0003891167184723124
20,Have little interest in doing things,0.00047656870532168937,0.001710934013386677
21,Moving or speaking slowly or too fast,0.0003177124702144596,0.0006354249404289191
22,How often do you snore?_7.0,0.0,0.0
23,How often do you snort or stop breathing_7.0,0.0,0.0
24,How often feel overly sleepy during day?_5.397605346934027e-79,-0.0003177124702144596,0.0010774154063741613
25,Usual wake time on weekdays or workdays,-0.0004765687053216672,0.0030803366846172053
26,Sleep hours,-0.001270849880857794,0.004537841733784181
27,How often do you snore?_3.0,-0.0019062748212867354,0.00185256613021295
