,feature,weight,std
0,Usual sleep time on weekdays or workdays,0.008578236695790276,0.0023238663762236316
1,Type of work done last week_1.0,0.003177124702144507,0.0027052242042774318
2,How often do you snore?_2.0,0.003177124702144485,0.0015070425703741458
3,Sleep hours,0.003018268467037277,0.002377542422096229
4,Kind of work you have done the longest_2.0,0.0027005559968227956,0.0013848765507675055
5,How often do you snore?_1.0,0.002223987291501128,0.0018388938685925545
6,How often do you snort or stop breathing_5.397605346934027e-79,0.002223987291501128,0.003458545044809744
7,How often feel overly sleepy during day?_4.0,0.002223987291501128,0.001971354034311474
8,Number of months working in the main job,0.0020651310563939208,0.0020467194164773533
9,How often do you snore?_5.397605346934027e-79,0.0014297061159649794,0.0020343524185648353
10,How often wear protective hearing device,0.0012708498808577718,0.0012905541548269704
11,Type of work done last week_2.0,0.0012708498808577274,0.00038911671847231236
12,How many days/mo. exposed to loud noise,0.001111993645750542,0.001188771211048087
13,Usual wake time on weekdays or workdays,0.001111993645750542,0.0025908667879745878
14,How often do you snort or stop breathing_1.0,0.0007942811755360824,0.0018796123218743565
15,Kind of work you have done the longest_3.0,0.0007942811755360602,0.0005023475234580135
16,Type of work done last week_3.0,0.0006354249404288747,0.0009262830651064464
17,Days per mo. exposed to very loud noise,0.0006354249404288525,0.0005943856055240168
18,How often feel overly sleepy during day?_2.0,0.0006354249404288525,0.0012708498808577883
19,How often feel overly sleepy during day?_1.0,0.0006354249404288525,0.0025811083096539764
20,Kind of work you have done the longest_1.0,0.0003177124702144152,0.002107466109836613
21,How often do you snort or stop breathing_7.0,0.0,0.0
22,How often do you snore?_7.0,0.0,0.0
23,Type of work done last week_7.0,0.0,0.0
24,Hours worked last week at all jobs,-2.2204460492503132e-17,0.0012304951060229789
25,Description of job/work situation,-6.661338147750939e-17,0.0016660982496745516
26,Kind of work you have done the longest_7.0,-0.0001588562351072298,0.0003177124702144596
27,Kind of work you have done the longest_4.0,-0.00031771247021448177,0.0008100110426676174
28,How often do you snort or stop breathing_3.0,-0.0007942811755361712,0.0013290866187991557
29,How often feel overly sleepy during day?_5.397605346934027e-79,-0.000953137410643401,0.0020954576581847257
30,How often do you snore?_3.0,-0.0011119936457506085,0.0006354249404289192
31,How often do you snort or stop breathing_2.0,-0.0011119936457506085,0.0006354249404289192
32,Duration of longest job (months),-0.0012708498808578605,0.00155646687388922
33,Type of work done last week_4.0,-0.0012708498808578828,0.0032787557490945598
34,How often feel overly sleepy during day?_3.0,-0.0020651310563940097,0.0034658338727992805
