,feature,weight,std
0,How often do you snort or stop breathing_5.397605346934027e-79,0.011755361397934826,0.002629538579387889
1,How often feel overly sleepy during day?_4.0,0.009690230341540863,0.002212611322825099
2,How often do you snore?_1.0,0.00714853057982523,0.0014208533613978176
3,Last yr embarrassed because of mouth,0.006671961874503518,0.003779309691301151
4,Sleep hours,0.004924543288324012,0.002154830812748323
5,Oral cancer exam where Dr pulls tonge,0.004765687053216783,0.0020712318999849795
6,Main reason for last dental visit,0.0042891183478950936,0.0011887712110481283
7,How often do you snort or stop breathing_1.0,0.003971405877680634,0.0011232832107808668
8,How often feel overly sleepy during day?_3.0,0.003971405877680634,0.0015070425703741458
9,Usual sleep time on weekdays or workdays,0.003812549642573404,0.002095457658184761
10,How often feel overly sleepy during day?_1.0,0.003335980937251737,0.0026295385793878986
11,Rate the health of your teeth and gums_4.0,0.0033359809372517147,0.0013665330050901868
12,How often do you snore?_3.0,0.0027005559968227956,0.000810011042667648
13,Usual wake time on weekdays or workdays,0.002382843526608358,0.0027052242042774318
14,How often feel overly sleepy during day?_5.397605346934027e-79,0.002223987291501106,0.0014559414439891637
15,When did you last visit a dentist_2.0,0.0019062748212866688,0.0012905541548269815
16,Rate the health of your teeth and gums_3.0,0.0019062748212866688,0.0012905541548269813
17,How often do you snort or stop breathing_3.0,0.0019062748212866464,0.0009531374106433787
18,How often do you snore?_5.397605346934027e-79,0.001588562351072209,0.0015885623510722645
19,How often do you snort or stop breathing_2.0,0.001588562351072187,0.0007104266806989088
20,How often last yr had aching in mouth?,0.0014297061159649794,0.002988862227518148
21,Told benefits of checking blood sugar,0.0012708498808577495,0.00118877121104809
22,How often do you snore?_2.0,0.001111993645750542,0.0013848765507674572
23,When did you last visit a dentist_6.0,0.0009531374106433122,0.0011673501554168857
24,Rate the health of your teeth and gums_5.0,0.0009531374106432899,0.0012708498808578076
25,Told importance of checking for cancer,0.0007942811755360824,0.0007104266806988592
26,When did you last visit a dentist_3.0,0.0007942811755360824,0.0011232832107808198
27,How many days use dental floss/device,0.0006354249404288747,0.001971354034311469
28,Past yr need dental but couldn't get it,0.0006354249404288525,0.0016961204530629283
29,Rate the health of your teeth and gums_1.0,0.00047656870532164497,0.0010774154063741158
30,Ever been told of bone loss around teeth,0.00031771247021439297,0.0023347003108338303
31,When did you last visit a dentist_4.0,0.00015885623510718537,0.0009262830651064424
32,Last yr had diff w/ job because of mouth,0.00015885623510716317,0.0024300331280028976
33,When did you last visit a dentist_77.0,0.0,0.0
34,How often do you snore?_7.0,0.0,0.0
35,How often do you snort or stop breathing_7.0,0.0,0.0
36,Rate the health of your teeth and gums_7.0,0.0,0.0
37,When did you last visit a dentist_7.0,-2.2204460492503132e-17,0.0005023475234580135
38,When did you last visit a dentist_1.0,-2.2204460492503132e-17,0.0016660982496745625
39,When did you last visit a dentist_5.0,-0.0003177124702144596,0.0003891167184723124
40,Told benefits of giving up cigarettes,-0.000794281175536149,0.0007104266806989088
41,Rate the health of your teeth and gums_2.0,-0.000953137410643401,0.0018388938685925504
42,How often feel overly sleepy during day?_2.0,-0.00174741858617955,0.0020954576581847257
43,Ever had treatment for gum disease?,-0.0019062748212867575,0.0016355250422537121
44,Do you think you might have gum disease?,-0.0050833995234313535,0.001290554154827014
