,feature,weight,std
0,Limitations keeping you from working,0.008578236695790276,0.004214932219673232
1,Dr told to take daily low-dose aspirin?,0.005401111993645724,0.0027697531015349747
2,Limited in amount of work you can do,0.0052422557585384945,0.002954896781213388
3,Usual sleep time on weekdays or workdays,0.003335980937251737,0.0019062748212867278
4,Experience confusion/memory problems,0.0033359809372517147,0.0007782334369446247
5,Minutes sedentary activity,0.003177124702144529,0.003177124702144546
6,Hours use computer past 30 days_8.0,0.003177124702144507,0.0021896820892915296
7,How often do you snort or stop breathing_3.0,0.002859412231930025,0.0011887712110481286
8,Hours watch TV or videos past 30 days_1.0,0.002859412231930025,0.0006354249404289192
9,How often feel overly sleepy during day?_1.0,0.0027005559968228177,0.0025416997617156464
10,Sleep hours,0.0022239872915011507,0.002629538579387896
11,How often feel overly sleepy during day?_3.0,0.0020651310563939208,0.0014731721200151818
12,Moderate work activity_1.0,0.0020651310563938987,0.0018525661302129497
13,Hours watch TV or videos past 30 days_3.0,0.0019062748212866688,0.0008100110426676175
14,How often do you snore?_3.0,0.0015885623510722314,0.0015885623510722535
15,How often do you snore?_1.0,0.0014297061159650015,0.001906274821286715
16,Vigorous work activity_2.0,0.001270849880857794,0.0014731721200151747
17,Hours use computer past 30 days_4.0,0.0012708498808577718,0.000389116718472258
18,Hours use computer past 30 days_5.397605346934027e-79,0.001111993645750564,0.0014731721200151697
19,How often do you snore?_2.0,0.0009531374106433122,0.001366533005090143
20,Hours use computer past 30 days_3.0,0.0007942811755361045,0.0007104266806988592
21,How often feel overly sleepy during day?_2.0,0.0007942811755361045,0.0018112397539302948
22,How often do you snort or stop breathing_1.0,0.000635424940428897,0.0005943856055240286
23,Hours use computer past 30 days_2.0,0.0004765687053216672,0.0010774154063741223
24,Hours watch TV or videos past 30 days_2.0,0.0004765687053216672,0.0006354249404288804
25,Walk or bicycle_1.0,0.00031771247021443737,0.0013848765507674852
26,Moderate recreational activities_2.0,0.0001588562351072076,0.0010537330549182983
27,How often do you snort or stop breathing_7.0,0.0,0.0
28,Hours watch TV or videos past 30 days_77.0,0.0,0.0
29,How often do you snore?_7.0,0.0,0.0
30,Require special healthcare equipment,0.0,0.0
31,Vigorous recreational activities_2.0,-2.2204460492503132e-17,0.0020712318999849457
32,Hours watch TV or videos past 30 days_5.397605346934027e-79,-2.2204460492503132e-17,0.001004695046916062
33,Hours use computer past 30 days_1.0,-4.4408920985006264e-17,0.001329086618799129
34,"Physical, mental, emotional limitations",-0.0001588562351072298,0.0003177124702144596
35,How often feel overly sleepy during day?_4.0,-0.0001588562351072298,0.0012708498808578382
36,Walk or bicycle_2.0,-0.0001588562351072298,0.0007782334369446248
37,Usual wake time on weekdays or workdays,-0.0001588562351072742,0.0019713540343114693
38,Vigorous work activity_1.0,-0.0003177124702144596,0.0010774154063741615
39,Hours watch TV or videos past 30 days_8.0,-0.00047656870532168937,0.0006354249404289192
40,Hours watch TV or videos past 30 days_5.0,-0.00047656870532168937,0.000810011042667648
41,How often do you snort or stop breathing_2.0,-0.0006354249404289192,0.0005943856055240643
42,Need special equipment to walk,-0.0007942811755361712,0.002658173237598325
43,Hours use computer past 30 days_5.0,-0.0009531374106433787,0.0005943856055240643
44,How often do you snore?_5.397605346934027e-79,-0.0011119936457506085,0.0006354249404289191
45,Vigorous recreational activities_1.0,-0.0011119936457506085,0.000810011042667648
46,Moderate recreational activities_1.0,-0.001429706115965068,0.0005943856055240642
47,Moderate work activity_2.0,-0.002065131056393987,0.0011887712110481286
48,How often do you snort or stop breathing_5.397605346934027e-79,-0.0020651310563940097,0.0021074661098366178
49,Hours watch TV or videos past 30 days_4.0,-0.002382843526608447,0.0018112397539303434
50,How often feel overly sleepy during day?_5.397605346934027e-79,-0.002382843526608447,0.003137159278495906
