,feature,weight,std
0,Limitations keeping you from working,0.012231930103256562,0.005186601339893393
1,Limited in amount of work you can do,0.007466243050039711,0.0021665101980914677
2,How often do you snort or stop breathing_1.0,0.0034948371723590556,0.000810011042667648
3,Experience confusion/memory problems,0.003494837172359033,0.002166510198091474
4,How often do you snort or stop breathing_3.0,0.002859412231930136,0.000810011042667648
5,Moderate recreational activities_1.0,0.002382843526608447,0.0010046950469160972
6,How often feel overly sleepy during day?_1.0,0.002223987291501217,0.000926283065106492
7,Minutes sedentary activity,0.0017474185861795278,0.0013665330050901868
8,How often do you snort or stop breathing_2.0,0.001429706115965068,0.0005943856055240643
9,Hours watch TV or videos past 30 days_8.0,0.001429706115965068,0.0005943856055240642
10,Hours watch TV or videos past 30 days_5.397605346934027e-79,0.0012708498808578384,0.001290554154827014
11,How often feel overly sleepy during day?_4.0,0.0011119936457506085,0.0016355250422537121
12,How often do you snore?_1.0,0.0009531374106433787,0.0012708498808578384
13,Need special equipment to walk,0.0009531374106433787,0.001971354034311517
14,Vigorous work activity_1.0,0.0009531374106433787,0.0005943856055240643
15,"Physical, mental, emotional limitations",0.000794281175536149,0.0
16,Vigorous recreational activities_2.0,0.0006354249404289192,0.001696120453062976
17,Usual sleep time on weekdays or workdays,0.0006354249404289192,0.002095457658184761
18,Hours use computer past 30 days_4.0,0.0006354249404289192,0.0005943856055240643
19,Hours use computer past 30 days_3.0,0.00047656870532168937,0.0006354249404289191
20,How often feel overly sleepy during day?_5.397605346934027e-79,0.00031771247021448177,0.002733066010180332
21,How often do you snore?_3.0,0.0003177124702144596,0.0021074661098366564
22,Hours watch TV or videos past 30 days_4.0,0.0001588562351072298,0.0015401683423086209
23,Hours use computer past 30 days_1.0,0.0001588562351072298,0.0003177124702144596
24,How often do you snore?_5.397605346934027e-79,0.0001588562351072298,0.001167350155416937
25,Hours watch TV or videos past 30 days_1.0,0.0001588562351072298,0.0018388938685925907
26,How often do you snort or stop breathing_5.397605346934027e-79,0.0,0.002409174088658185
27,Require special healthcare equipment,0.0,0.0
28,Moderate recreational activities_2.0,0.0,0.0020093900938321944
29,Hours watch TV or videos past 30 days_77.0,0.0,0.0
30,How often do you snort or stop breathing_7.0,0.0,0.0
31,How often do you snore?_7.0,0.0,0.0
32,How often do you snore?_2.0,-0.0001588562351072298,0.0013665330050901868
33,Vigorous recreational activities_1.0,-0.00031771247021443737,0.0022800159006206933
34,Vigorous work activity_2.0,-0.0003177124702144596,0.001290554154827014
35,Moderate work activity_1.0,-0.00047656870532168937,0.00038911671847231236
36,How often feel overly sleepy during day?_3.0,-0.0006354249404288747,0.002859412231930084
37,Hours watch TV or videos past 30 days_3.0,-0.0006354249404289192,0.001167350155416937
38,Hours watch TV or videos past 30 days_5.0,-0.0006354249404289192,0.0013665330050901868
39,Hours watch TV or videos past 30 days_2.0,-0.0007942811755361267,0.0021896820892915296
40,Sleep hours,-0.0009531374106433787,0.0022126113228251435
41,Hours use computer past 30 days_5.0,-0.0011119936457506085,0.00038911671847231236
42,Hours use computer past 30 days_2.0,-0.0011119936457506085,0.0011887712110481283
43,How often feel overly sleepy during day?_2.0,-0.0012708498808578384,0.0010774154063741615
44,Moderate work activity_2.0,-0.0017474185861795055,0.001696120453062947
45,Usual wake time on weekdays or workdays,-0.0017474185861795055,0.00430380212363594
46,Walk or bicycle_2.0,-0.002065131056393965,0.0016355250422536865
47,Walk or bicycle_1.0,-0.0027005559968229067,0.00038911671847231236
48,Hours use computer past 30 days_5.397605346934027e-79,-0.003018268467037344,0.0010537330549182915
49,Hours use computer past 30 days_8.0,-0.0036536934074662187,0.002280015900620681
