,feature,weight,std
0,Dr told to take daily low-dose aspirin?,0.0068308181096107925,0.00406870483712966
1,How often feel overly sleepy during day?_3.0,0.006354249404289125,0.003552133403494504
2,How often do you snort or stop breathing_5.397605346934027e-79,0.005242255758538539,0.0031210298180124564
3,How often do you snort or stop breathing_3.0,0.002859412231930114,0.0015564668738892225
4,How often feel overly sleepy during day?_1.0,0.002700555996822862,0.003779309691301135
5,How often do you snore?_2.0,0.002541699761715632,0.002212611322825091
6,How often do you snore?_5.397605346934027e-79,0.0,0.0008700914336857386
7,How often do you snort or stop breathing_7.0,0.0,0.0
8,How often do you snore?_7.0,0.0,0.0
9,How often feel overly sleepy during day?_4.0,-0.00047656870532168937,0.0011887712110481286
10,How often feel overly sleepy during day?_5.397605346934027e-79,-0.00047656870532168937,0.0017831568165721928
11,Sleep hours,-0.0004765687053217116,0.004037574273912273
12,How often do you snore?_1.0,-0.000794281175536149,0.0026102743010572157
13,How often do you snort or stop breathing_1.0,-0.0012708498808578384,0.000810011042667648
14,How often do you snort or stop breathing_2.0,-0.0017474185861795278,0.0010537330549183282
15,Usual sleep time on weekdays or workdays,-0.002223987291501217,0.0022126113228251435
16,How often feel overly sleepy during day?_2.0,-0.003018268467037344,0.0036015199519474675
17,Usual wake time on weekdays or workdays,-0.003812549642573493,0.002581108309654
18,How often do you snore?_3.0,-0.007783955520254171,0.0015401683423085775
