,feature,weight,std
0,How often do you snort or stop breathing_5.397605346934027e-79,0.015091342335186674,0.0017401828673714367
1,How often feel overly sleepy during day?_4.0,0.009849086576648135,0.0010774154063741615
2,How old when first had sex (B),0.007783955520254193,0.0024814137175239387
3,How often do you snort or stop breathing_3.0,0.007625099285146963,0.0012905541548269702
4,Usual wake time on weekdays or workdays,0.0069896743447180444,0.0025317517792707105
5,Sleep hours,0.003971405877680745,0.0007104266806989088
6,How often feel overly sleepy during day?_3.0,0.003653693407466263,0.002541699761715646
7,How often do you snore?_2.0,0.002859412231930136,0.0011887712110481286
8,How often feel overly sleepy during day?_1.0,0.0017474185861795278,0.0017689481692867628
9,How often do you snore?_1.0,0.0012708498808578384,0.0022800159006207293
10,How often feel overly sleepy during day?_5.397605346934027e-79,0.0012708498808578384,0.0019194671919928058
11,How often do you snore?_3.0,0.0011119936457506085,0.003240044170670592
12,MD ever told you had chlamydia (B),0.000794281175536149,0.0
13,How often do you snort or stop breathing_2.0,0.0006354249404289192,0.000926283065106492
14,"Ever had vaginal, anal, or oral sex (B)",0.00047656870532168937,0.0010774154063741615
15,How often do you snore?_5.397605346934027e-79,0.0001588562351072298,0.001167350155416937
16,How often do you snore?_7.0,0.0,0.0
17,How often do you snort or stop breathing_7.0,0.0,0.0
18,MD ever told you had gonorrhea (B),0.0,0.0
19,MD ever told you had genital warts (B),-0.0006354249404289192,0.001167350155416937
20,How often do you snort or stop breathing_1.0,-0.000794281175536149,0.0010046950469160972
21,How often feel overly sleepy during day?_2.0,-0.000794281175536149,0.0013290866187991822
22,MD ever told you had genital herpes (B),-0.001270849880857816,0.0014731721200151795
23,Usual sleep time on weekdays or workdays,-0.004924543288324079,0.004723135424088489
