,feature,weight,std
0,How often do you snort or stop breathing_3.0,0.009372517871326447,0.0013665330050901868
1,How often do you snort or stop breathing_5.397605346934027e-79,0.007942811755361379,0.0030556606928787236
2,How often feel overly sleepy during day?_4.0,0.006513105639396333,0.0026295385793878986
3,Usual sleep time on weekdays or workdays,0.0017474185861794834,0.004615040205348365
4,How often do you snore?_1.0,0.0014297061159650238,0.0024300331280028976
5,How often feel overly sleepy during day?_3.0,0.001270849880857816,0.00198411374055549
6,How often do you snort or stop breathing_1.0,0.0011119936457506085,0.001290554154827014
7,How often do you snore?_3.0,0.000635424940428897,0.002677092858832828
8,How often feel overly sleepy during day?_1.0,0.0004765687053216672,0.0025908667879745973
9,How often do you snore?_2.0,0.00031771247021443737,0.0023881328639194315
10,How often feel overly sleepy during day?_2.0,0.0001588562351072298,0.0007782334369446247
11,How often do you snort or stop breathing_7.0,0.0,0.0
12,How often do you snore?_7.0,0.0,0.0
13,Usual wake time on weekdays or workdays,-0.000794281175536149,0.00492198042409202
14,How often feel overly sleepy during day?_5.397605346934027e-79,-0.001588562351072298,0.0019455835923615618
15,How often do you snort or stop breathing_2.0,-0.002382843526608447,0.0010046950469160972
16,How often do you snore?_5.397605346934027e-79,-0.003812549642573493,0.0024814137175239556
17,Sleep hours,-0.0055599682287529985,0.005073461293938435
