,feature,weight,std
0,Self-reported weight-10 yrs ago (pounds),0.017474185861795055,0.0026581732375983644
1,Self-reported greatest weight (pounds),0.013661636219221585,0.003601519951947452
2,How often feel overly sleepy during day?_4.0,0.01143764892772039,0.0017831568165721512
3,How often do you snort or stop breathing_5.397605346934027e-79,0.010961080222398722,0.0023238663762236243
4,Age when heaviest weight,0.008895949166004734,0.00281493965792999
5,How often do you snort or stop breathing_3.0,0.008419380460683069,0.0009531374106433788
6,How often feel overly sleepy during day?_3.0,0.00651310563939631,0.0020343524185648682
7,Current self-reported height (inches),0.0058776806989673915,0.002334700310833874
8,Current self-reported weight (pounds),0.0058776806989673915,0.002223987291501217
9,Usual wake time on weekdays or workdays,0.005559968228752932,0.002409174088658185
10,Usual sleep time on weekdays or workdays,0.003971405877680656,0.002511737617290222
11,How do you consider your weight_1.0,0.003971405877680656,0.002460990212046008
12,Times lost 10 lbs or more to lose weight_5.0,0.003971405877680634,0.0013290866187991822
13,Times lost 10 lbs or more to lose weight_1.0,0.003653693407466174,0.0006354249404289192
14,How often do you snort or stop breathing_2.0,0.003177124702144507,0.0011232832107808354
15,Sleep hours,0.00254169976171561,0.003494837172359003
16,Times lost 10 lbs or more to lose weight_3.0,0.002065131056393943,0.0014731721200151747
17,How often feel overly sleepy during day?_5.397605346934027e-79,0.0017474185861794834,0.0018388938685925467
18,How often do you snore?_5.397605346934027e-79,0.0017474185861794834,0.0005943856055240168
19,Self-reported weight - 1 yr ago (pounds),0.0017474185861794834,0.0026295385793878886
20,How do you consider your weight_3.0,0.0017474185861794834,0.0018388938685925372
21,"Like to weigh more, less or same_3.0",0.0015885623510722535,0.0019455835923615167
22,How often do you snore?_2.0,0.001429706115965046,0.0010537330549182913
23,"Like to weigh more, less or same_1.0",0.001270849880857816,0.0006354249404288804
24,How often feel overly sleepy during day?_1.0,0.001270849880857794,0.0022800159006206764
25,Times lost 10 lbs or more to lose weight_4.0,0.0009531374106433565,0.000778233436944584
26,How often do you snore?_1.0,0.0007942811755361267,0.0028417067227956045
27,How often feel overly sleepy during day?_2.0,0.0006354249404289192,0.0012708498808578382
28,How often do you snore?_3.0,0.0004765687053216672,0.0010774154063741223
29,Times lost 10 lbs or more to lose weight_2.0,0.0003177124702144596,0.0003891167184723124
30,Have you ever had wt loss surgery?_1.0,0.0001588562351072298,0.0003177124702144596
31,How do you consider your weight_2.0,0.0001588562351072298,0.0005943856055240642
32,"Like to weigh more, less or same_2.0",0.0001588562351072076,0.002323866376223635
33,Have you ever had wt loss surgery?_2.0,0.0,0.0
34,How often do you snore?_7.0,0.0,0.0
35,How do you consider your weight_7.0,0.0,0.0
36,"Like to weigh more, less or same_7.0",0.0,0.0
37,Times lost 10 lbs or more to lose weight_7.0,0.0,0.0
38,How often do you snort or stop breathing_7.0,0.0,0.0
39,Tried to lose weight in past year,-0.0003177124702144596,0.0006354249404289191
40,How often do you snort or stop breathing_1.0,-0.00047656870532168937,0.0006354249404289191
41,Self-reported weight-age 25 (pounds),-0.0019062748212867354,0.003278755749094563
