,feature,weight,std
0,Take medication for depression?,0.004924543288324123,0.0025317517792707565
1,Trouble sleeping or sleeping too much,0.0049245432883241015,0.004696344876598738
2,Self-reported greatest weight (pounds),0.004765687053216894,0.0014208533613978176
3,Seen mental health professional/past yr_1.0,0.004447974583002434,0.0011887712110481286
4,Take medication for these feelings?,0.003812549642573515,0.0005943856055240643
5,#times receive healthcare over past year,0.003812549642573515,0.002581108309654028
6,Seen mental health professional/past yr_2.0,0.002859412231930136,0.000810011042667648
7,Hours use computer past 30 days_8.0,0.0027005559968229067,0.000810011042667648
8,Family monthly poverty level index,0.002382843526608447,0.0010046950469160972
9,SP ever had pain or discomfort in chest,0.002382843526608447,0.0011232832107808668
10,Doctor told you to exercise_1.0,0.002223987291501239,0.0016961204530629365
11,How often do you snort or stop breathing_5.397605346934027e-79,0.002223987291501217,0.0005943856055240643
12,Usual sleep time on weekdays or workdays,0.0019062748212867575,0.0016355250422537123
13,Feeling tired or having little energy,0.0019062748212867575,0.0016355250422537121
14,"Like to weigh more, less or same_3.0",0.0019062748212867575,0.00038911671847231236
15,Minutes outdoors 9am - 5pm not work day,0.0019062748212867575,0.00038911671847231236
16,Speak English at home - NHW or NHB,0.0019062748212867575,0.0010774154063741615
17,Sleep hours,0.0019062748212867575,0.0010774154063741613
18,Doctor told you to lose weight_2.0,0.0017474185861795278,0.0010537330549183282
19,"How often do you feel worried, anxious?",0.001588562351072298,0.0008700914336857386
20,General health condition_2.0,0.001588562351072298,0.0005023475234580486
21,Hours use computer past 30 days_5.397605346934027e-79,0.001588562351072298,0.0005023475234580486
22,Money spent on eating out,0.0014297061159650904,0.0019062748212867317
23,Days per mo. exposed to very loud noise,0.001429706115965068,0.001167350155416937
24,Dr told to take daily low-dose aspirin?,0.001429706115965068,0.0005943856055240642
25,Shortness of breath on stairs/inclines,0.001429706115965068,0.000926283065106492
26,In past yr did you have sunburn?,0.001429706115965068,0.0005943856055240643
27,Require special healthcare equipment,0.001429706115965068,0.0014559414439891637
28,Have serious difficulty walking?_1.0,0.0011119936457506308,0.0018525661302129424
29,Self-reported weight - 1 yr ago (pounds),0.0011119936457506308,0.0012905541548269815
30,When blood cholesterol last checked,0.0011119936457506085,0.000810011042667648
31,Doctor told you to lose weight_1.0,0.0011119936457506085,0.0006354249404289191
32,Have serious difficulty walking?_2.0,0.0011119936457506085,0.000810011042667648
