,feature,weight,std
0,Trouble sleeping or sleeping too much,0.010325655281969826,0.0022465664215617336
1,Have little interest in doing things,0.008101667990468653,0.0034218680267733056
2,Difficulty these problems have caused,0.006354249404289125,0.0023562187409358485
3,Avg # alcoholic drinks/day - past 12 mos,0.005877680698967458,0.0018525661302129348
4,Feeling tired or having little energy,0.0055599682287529985,0.0032941130029114627
5,How often drink alcohol over past 12 mos,0.0049245432883241015,0.001971354034311474
6,How often feel overly sleepy during day?_3.0,0.0049245432883241015,0.002377542422096229
7,Hours watch TV or videos past 30 days_5.0,0.004130262112787953,0.002677092858832831
8,Moving or speaking slowly or too fast,0.0033359809372518257,0.001540168342308621
9,Last 7-d in other indoor area?_2.0,0.0033359809372518257,0.0013665330050901868
10,Vigorous recreational activities_2.0,0.003177124702144596,0.0014208533613978176
11,How often feel overly sleepy during day?_1.0,0.003018268467037366,0.000926283065106492
12,Last 7-d spent time in another home?_2.0,0.002859412231930136,0.000810011042667648
13,How often do you snort or stop breathing_5.397605346934027e-79,0.0027005559968229067,0.0021665101980915032
14,Usual sleep time on weekdays or workdays,0.002382843526608447,0.001740182867371477
15,Feeling bad about yourself,0.002223987291501217,0.000926283065106492
16,How often do you snore?_5.397605346934027e-79,0.002223987291501217,0.0005943856055240643
17,How often feel overly sleepy during day?_2.0,0.002223987291501217,0.0018388938685925907
18,Moderate recreational activities_1.0,0.002065131056393987,0.001290554154827014
19,Last 7-d rode in a car?_1.0,0.0019062748212867575,0.000810011042667648
20,Hours use computer past 30 days_2.0,0.0017474185861795278,0.000926283065106492
21,Last 7-d spent time in a restaurant?_1.0,0.0017474185861795278,0.0019713540343115174
22,# days have 4/5 drinks - past 12 mos,0.0017474185861795278,0.001167350155416937
23,Ever smoked a cigar even 1 time?,0.001588562351072298,0.0010046950469160972
24,Smoked at least 100 cigarettes in life,0.001588562351072298,0.0016660982496746047
25,Sleep hours,0.0014297061159650904,0.0038716624644810115
26,How often feel overly sleepy during day?_5.397605346934027e-79,0.001429706115965068,0.0012708498808578384
27,Last 7-d spent time in a restaurant?_2.0,0.0012708498808578384,0.00038911671847231236
28,Walk or bicycle_1.0,0.0011119936457506085,0.00038911671847231236
29,Vigorous recreational activities_1.0,0.0009531374106433787,0.0018388938685925907
30,Ever used marijuana or hashish,0.000794281175536149,0.0014208533613978176
31,Trouble concentrating on things,0.000794281175536149,0.0012304951060230218
32,Last 7-d at job someone smoked indoors?,0.000794281175536149,0.0010046950469160972
33,How often do you snore?_3.0,0.000794281175536149,0.001123283210780867
34,How often do you snort or stop breathing_3.0,0.000794281175536149,0.0012304951060230218
35,Hours use computer past 30 days_8.0,0.000794281175536149,0.0007104266806989088
36,Hours watch TV or videos past 30 days_1.0,0.0006354249404289192,0.000926283065106492
37,"# days drink alcohol per wk, mo, yr",0.0006354249404289192,0.0012708498808578382
38,"Feeling down, depressed, or hopeless",0.0004765687053217116,0.0024403957896325947
39,Vigorous work activity_2.0,0.00047656870532168937,0.0015564668738892494
40,Hours watch TV or videos past 30 days_8.0,0.00047656870532168937,0.00038911671847231236
41,Last 7-d in other indoor area?_1.0,0.00047656870532168937,0.0017109340133866773
42,Smoked tobacco last 5 days?,0.00047656870532168937,0.0009531374106433787
43,How often do you snort or stop breathing_2.0,0.00047656870532168937,0.0013848765507675055
44,Last 7-d spent time in another home?_1.0,0.0003177124702144596,0.0016355250422537123
45,How often feel overly sleepy during day?_4.0,0.0003177124702144596,0.0014731721200152202
46,Hours watch TV or videos past 30 days_5.397605346934027e-79,0.0003177124702144596,0.0003891167184723124
47,Hours use computer past 30 days_3.0,0.0003177124702144596,0.0016355250422537121
48,Vigorous work activity_1.0,0.0003177124702144596,0.001290554154827014
49,Last 7-d at rest someone smoked indoors?,0.0001588562351072298,0.0003177124702144596
50,Walk or bicycle_2.0,0.0001588562351072298,0.0007782334369446246
51,Used smokeless tobacco last 5 days?,0.0001588562351072298,0.0003177124702144596
52,Used nicotine replacement last 5 days?,0.0001588562351072298,0.0003177124702144596
53,Hours use computer past 30 days_4.0,0.0001588562351072298,0.0003177124702144596
54,Hours watch TV or videos past 30 days_3.0,0.0001588562351072298,0.0012708498808578382
55,Hours watch TV or videos past 30 days_4.0,0.0001588562351072298,0.0005943856055240643
56,Ever have 4/5 or more drinks every day?,0.0001588562351072298,0.0013665330050901868
